labels,data
All,0.921994885
Top variable,0.687340153
Top 2 variables,0.837595908
Top 3 variables,0.878516624
Top 4 variables,0.914322251
NADH_tm,0.903452685
Norm_RR,0.620204604
NADH_a1,
