labels,data
NADH_a1,26.00972786
NADH_t1,17.78107198
Norm_RR,16.85116702
NADH_tm,9.730756602
NADH_t2,7.555594991
FAD_a1,7.341424203
FAD_t1,5.912728867
FAD_t2,4.517573355
FAD_tm,4.299955123
