NADH,n.t1.mean,n.t2.mean,n.a1.mean,f.t1.mean,f.t2.mean,f.a1.mean,rr.mean,n.tm.mean,f.tm.mean,npix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_1n,292.7875122,2422.982545,61.7291229,184.6782763,1885.403537,68.46440305,0.940188256,1101.023339,715.8528263,393,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,275.3230469,2316.783104,60.41327522,200.3364194,1958.620794,71.37056478,0.957109498,1079.105181,694.4412831,335,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,274.1634382,2144.064632,65.4010375,176.6619063,1938.904816,69.13499559,0.924402922,921.6957002,712.1633359,272,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,267.9056765,2415.523377,54.72081921,187.0517533,1970.482517,68.40807748,0.92749752,1235.675618,738.7637656,302,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,275.0683386,2349.036693,64.80301496,214.3858488,1948.506299,67.15795984,0.89576461,1001.721025,780.345923,127,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,291.2079294,2115.331922,68.11211373,165.2245903,1819.494863,71.4601051,0.961300299,873.6131552,626.8059075,255,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,290.1983329,2276.388966,60.48023918,207.1184245,2121.640408,72.36506708,0.94046584,1075.62762,724.2861286,319,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,288.233914,2318.460617,62.34934723,175.9560666,1898.419064,69.73151404,0.936767938,1047.921044,688.9300994,470,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,295.2818355,2305.803345,61.16844483,188.6696435,1975.405724,69.57223483,0.931389515,1075.95027,722.5780414,290,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,288.7974227,2098.667067,67.84597822,200.3968956,1979.349289,72.37240711,0.92572339,870.2963619,685.6195974,225,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,293.9517835,2293.831375,64.23869828,207.435823,2093.865258,71.03567732,0.92998477,1011.562624,738.9067278,291,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,278.5262066,2264.247202,66.61107407,247.8616502,2189.348383,73.68109506,0.960808178,946.7559884,731.9914333,243,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,285.0210206,2042.669883,68.47988126,254.8686007,2163.981171,72.04329485,0.957862186,849.2271583,768.4550365,427,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,262.76093,2219.296007,59.49852418,191.0783608,2009.611758,70.072263,0.88550512,1054.363272,727.7072496,273,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,290.3193828,2280.221023,60.79104719,194.8120759,2065.131287,73.99639769,0.963943916,1069.784854,667.4928596,303,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,290.2147228,2402.565317,56.30604788,215.6563,2152.672672,69.68879497,0.924415952,1211.658123,796.1274895,378,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,296.0854735,2433.821175,61.17735602,183.6456327,2058.116747,71.1541253,0.951726689,1121.835035,717.4111205,332,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,278.3949905,2164.012559,68.57588152,321.2420801,2158.059905,67.94937062,0.901167065,865.4838846,891.2042183,211,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,302.6514506,2330.433269,63.93324295,216.3800939,1999.124359,70.39244135,0.920045039,1038.378404,731.5364557,312,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,283.8329694,2373.634536,58.12788385,204.5207858,2012.569107,70.70452062,0.93023715,1152.587989,726.4474358,291,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,231.9971563,2149.228542,62.99343661,215.8715834,2023.085322,73.18054305,0.941189042,944.0330006,679.6555088,295,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,290.5929941,2239.539684,60.91057075,168.3062107,1964.086126,70.94330632,0.917906948,1050.693953,682.7660539,253,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,282.5485356,2366.54089,63.10263488,156.8565302,1931.545623,74.47845694,0.961988943,1046.527361,589.252316,281,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,291.7302809,2102.420218,70.31728692,224.7775397,2170.861961,68.95400847,0.931965216,837.6504539,814.9849892,413,Activated,M,20221101,CD69+,NK-Cells
