,cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,celltype,NADH,FAD,Group,Donor,Experiment_Date,Activation,Cell_Type
48,66,232.0272727,408.6895182,2330.338818,69.36274545,1.030927455,9.609090909,710.6152973,4919.370718,65.50149564,29.56452373,1.4469908,0.956404746,994.7367881,1568.268808,92.14990371,71.44133617,191.4248265,3.368381161,0.105020536,3.604521764,455.8686922,10829.88576,36.1706936,31.16021563,0.30467533,0.019948569,97.71896202,2485.484689,110,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
49,76,299.1444867,392.8794297,2323.483308,74.69720038,1.006726312,16.17870722,625.4579456,5895.379127,66.8362607,22.28745345,1.541508209,0.946184943,879.6307061,1675.288982,184.6874656,76.30681141,187.758424,4.394933839,0.10678822,13.2435496,502.575707,10614.27358,38.43533249,28.2665086,0.844800266,0.032162074,115.6229112,2169.544133,263,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
50,85,305.0288809,405.7339783,2513.154729,71.71577401,1.034675357,19.32490975,684.3582896,4717.207736,65.46756545,27.62451613,1.392736329,0.939449499,999.5039676,1573.554682,210.2236367,102.9922286,348.3890696,5.001725379,0.136941267,34.72671559,555.0258957,9341.419275,36.72361403,29.23629219,0.620179387,0.06176443,170.4449019,2585.976065,277,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
51,94,247.0608108,385.5534099,2236.816014,78.15745113,1.029743968,12.23873874,712.4601595,5091.718327,68.67247726,26.63533438,1.374163214,0.945335444,789.2698864,1504.478932,105.1030813,54.16496194,179.1163628,3.982931218,0.104850253,9.434662293,489.7393913,7948.767995,33.92169161,27.8638688,0.50014389,0.043824638,82.02348506,1235.30948,444,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
52,104,177.0259481,402.9354351,2281.506248,71.43660339,1.00848722,13.67065868,665.7434974,4327.361246,69.70286253,26.56391755,1.357092267,0.912836972,933.5572693,1312.559551,126.8532275,154.4151469,337.6446513,4.944996783,0.103245856,8.187631975,465.438091,5881.553915,33.63829102,26.95790876,0.395538939,0.053441849,172.675017,1026.476488,501,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
53,113,202.9289617,386.9748579,2334.511913,70.6537377,1.036358251,9.983606557,610.0438986,6057.733038,69.22375543,23.86857226,1.495830831,0.949183788,954.3312011,1439.686865,93.88870184,120.3311619,262.4707889,4.83826893,0.115326443,5.318922689,411.0420029,13740.08361,33.37904878,31.51043144,0.44921018,0.025347574,121.2721954,1453.586272,183,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
54,123,290.1695906,346.1423041,2342.481842,73.25797281,1.044773418,10.15497076,744.2772687,6456.824188,67.32238345,25.87885363,1.502034216,0.957493353,877.0214322,1749.551862,197.6393689,64.43599704,224.0369464,3.380713744,0.106889636,8.499230006,614.4472283,11278.88552,35.25075357,29.8035647,0.597552222,0.031008693,104.5868453,1911.934212,342,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
55,132,169.892562,448.7469091,2478.978044,70.27734601,0.994672518,8.887052342,669.488245,5699.732747,62.55502242,26.70999056,1.534865022,0.946300771,1046.200461,1699.339094,50.10471934,203.5185537,394.5283043,5.339927772,0.108626121,3.581863903,527.3723371,10166.95986,41.68822681,29.97375268,0.652429735,0.026770345,205.3099728,2106.136678,363,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
56,142,197.9327146,417.4134478,2446.601717,69.34999861,1.016371951,14.85614849,708.0164472,5534.155675,67.91936743,24.60370179,1.409745733,0.919106979,1030.294168,1547.267156,100.8735687,190.2944626,429.3011944,5.459041784,0.121618785,14.10121892,503.4943586,8885.562262,35.71625197,29.65253616,0.486674901,0.062863451,204.6217771,1379.130554,431,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
57,151,215.7016393,375.8169377,2357.78259,73.37472033,1.02505437,16.12131148,676.8621541,4023.373144,72.95498299,23.79612266,1.259815311,0.917456862,902.0574306,1322.680821,125.7427649,63.35076261,217.6118081,4.102731765,0.113227704,8.538325262,445.4187737,4887.074818,29.85971388,25.03205705,0.301211375,0.045453157,112.6486873,1352.433642,305,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
58,161,319.0524476,380.8277552,2217.802203,75.67126993,1.063190626,24.03496503,731.2881778,4466.867094,74.31092389,22.74839413,1.188217129,0.928697184,827.0984013,1331.896868,127.9457974,56.74050072,215.3216716,3.219491563,0.098903665,16.921869,413.4406686,7885.150438,28.02009637,22.14043114,0.230372491,0.042243735,93.43358173,785.6281083,286,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
59,170,208.3848168,399.0985026,2360.858115,71.34899319,1.008318259,20.2617801,735.6104219,4936.714482,73.13129668,24.13431508,1.217308835,0.905428767,956.942871,1429.617735,124.4603726,122.4249799,277.0072709,5.738733949,0.106926292,13.3095413,448.9238957,7689.54445,28.28022379,24.04231746,0.259529265,0.042377139,151.7452452,1013.162712,382,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
60,179,208.0680851,573.8472851,2795.336894,65.79811872,1.045046,20.60425532,762.6833885,5259.513255,72.43807809,23.3666669,1.39127943,0.904273898,1296.193249,1498.401279,159.1581607,338.72014,715.8248612,11.21796392,0.111431486,19.64886153,474.334751,10894.17058,29.76056971,24.1412702,0.752909253,0.048909972,274.5074958,1281.160084,235,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
61,189,230.1771429,401.9365429,2377.414914,77.21521143,1.012837891,17.86857143,587.3673129,4966.932889,71.6331316,22.13373516,1.277991463,0.923361545,851.9112597,1162.767092,115.0808189,59.2080835,304.1149031,3.923120921,0.126092913,10.80601608,474.5218245,9431.546256,35.45055791,25.70064805,0.467364469,0.04685894,124.705894,839.7565488,175,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
