,cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,celltype,NADH,FAD,Group,Donor,Experiment_Date,Activation,Cell_Type
587,99,878.3246753,453.2732597,2440.142532,67.38460065,1.026830071,44.33766234,472.2471299,2753.048052,74.21475584,25.78524416,0.982744935,0.94624137,1103.115927,1036.860075,253.9859726,161.7306067,346.7806416,7.199081315,0.109725771,22.52586626,301.9067209,834.8300175,5.267018838,5.267018838,0.098594783,0.039219815,271.9416814,328.607012,154,cyto,a_3n,a_3f,Activated,M,221101,CD69+,NK-Cells
1630,37,631.3571429,605.3084351,2699.790325,60.45392273,1.027657773,35.96753247,439.8248377,2555.783961,73.83216169,26.16783831,1.015370149,0.941041822,1405.638018,988.8013445,187.6891004,367.2508457,645.7405464,10.48633339,0.110895943,15.83428019,272.5464388,535.2781239,5.180131549,5.180131549,0.108841384,0.032264266,310.7379867,255.653606,154,cyto,q_5n,q_5f,Control,M,221101,CD69-,NK-Cells
1672,99,656.3051948,447.3335844,2462.31539,67.2951539,1.017618221,48.5974026,400.5327987,2363.486104,71.85127662,28.14872338,1.016440247,0.918628459,1094.874246,942.1566674,317.5353272,226.4010735,519.7768559,5.806353223,0.097960465,30.8586318,283.086735,558.5138366,6.243067157,6.243067157,0.103881928,0.058857215,234.9323538,267.2458557,154,cyto,q_5n,q_5f,Control,M,221101,CD69-,NK-Cells
1829,18,667.6818182,591.2952273,2771.530519,62.75382987,1.072745844,48.03896104,420.4208831,2368.819026,72.23761104,27.76238896,1.012411416,0.920648818,1370.336472,948.4372778,282.4446202,391.8309595,754.7873337,10.54843218,0.105359836,32.78049059,256.6395123,574.6043458,5.892745036,5.892745036,0.113146489,0.063128452,373.7427766,250.5819949,154,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
1830,19,534.6623377,533.2777143,2629.672922,59.82478701,1.020327136,91.27272727,384.5913377,2508.524481,73.90328896,26.09671104,0.956772351,0.857190226,1351.199411,937.8679552,134.978053,344.7884828,615.7481412,10.19279786,0.105089928,57.16496856,117.1200425,337.8158894,2.334192773,2.334192773,0.12009737,0.07796609,292.0754011,171.9949207,154,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
336,19,992.3896104,413.0264416,2549.938377,62.82189935,1.075147565,71.31818182,361.1943831,2391.518377,71.65051299,28.34948701,1.021952487,0.93369015,1205.799411,929.3300167,306.4116013,110.9730071,248.8627895,5.933493597,0.149134084,51.27074164,191.2098144,488.5361654,3.956057064,3.956057064,0.141058475,0.039881233,181.5368467,211.6367072,154,cyto,a_5n,a_5f,Activated,M,221101,CD69-,NK-Cells
751,60,569.2857143,575.589461,2762.071558,62.40858506,1.072041838,54.46753247,437.7568701,2579.256818,72.4412974,27.5587026,0.971044273,0.90606273,1370.028367,1016.661976,174.759731,299.0282179,660.4257953,8.529721964,0.118372988,43.54295735,128.3425862,430.2541652,4.788681014,4.788681014,0.093605391,0.079586008,249.5202832,158.3457819,154,cyto,q_5n,q_5f,Control,M,221101,CD69+,NK-Cells
204,97,675.6516129,545.1541548,2786.866,58.92093742,1.036093116,67.5483871,360.7586581,2304.757548,73.25537032,26.74462968,1.034189594,0.917400848,1424.121368,870.2844125,244.3690947,285.7463617,776.2835864,9.555397783,0.110178354,56.94679603,136.2388337,421.2333638,4.28886558,4.28886558,0.08578917,0.031098111,261.0710949,132.3467015,155,cyto,a_1n,a_1f,Activated,M,221101,CD69+,NK-Cells
401,96,550.3677419,495.5304129,2633.961484,67.41857806,1.01976889,51.76774194,429.419271,2471.524774,72.80910065,27.19089935,0.945406606,0.908245326,1180.531001,975.4388034,175.9391505,244.5963774,551.8805687,7.316479629,0.112290272,17.98766509,262.379594,530.2824967,4.926807386,4.926807386,0.093702707,0.037709921,276.5311016,252.204844,155,cyto,a_2n,a_2f,Activated,M,221101,CD69+,NK-Cells
926,12,879.3677419,402.951329,2581.897419,62.31533742,1.039189265,41.81290323,460.3454581,2664.640452,72.46394323,27.53605677,0.976177503,0.954326338,1224.573436,1052.604302,227.9985196,134.7562723,194.5653861,6.615364105,0.114203563,22.55924008,238.0454132,579.1145726,5.197555704,5.197555704,0.120895075,0.024049375,198.3226298,246.7709599,155,cyto,a_6n,a_6f,Activated,M,221101,CD69+,NK-Cells
1397,27,621.5612903,565.7942774,2702.522516,57.08611484,1.032918523,50.39354839,490.9876129,2755.614774,70.28647032,29.71352968,0.964657084,0.924495559,1457.438091,1143.734571,225.7259885,293.2804299,530.6532097,9.68324644,0.112029435,36.25871982,295.2311769,699.3962564,6.932671601,6.932671601,0.10712624,0.044987997,236.6741527,296.7334912,155,cyto,q_3n,q_3f,Control,M,221101,CD69-,NK-Cells
225,54,665.8451613,444.0818129,2541.943032,65.47747032,1.064419884,52.96774194,356.4131613,2244.971097,75.61178387,24.38821613,1.052099968,0.924166957,1160.715472,813.569551,183.655951,169.3638125,356.354873,7.12763006,0.124102113,14.8653783,96.55897355,308.9188659,2.800766754,2.800766754,0.09220135,0.018209873,218.4488184,124.2697173,155,cyto,a_3n,a_3f,Activated,M,221101,CD69-,NK-Cells
1187,58,699.7371795,580.6252436,2732.473013,64.89114808,1.037458532,53.90384615,341.3311667,2274.720577,73.82410833,26.17589167,1.018488878,0.916739108,1309.671957,844.5716459,330.2610133,329.5287687,706.2857237,8.437188869,0.111724427,47.04737199,180.2570219,417.6561097,5.320339471,5.320339471,0.102461601,0.069969864,279.6576985,241.3430523,156,cyto,q_2n,q_2f,Control,M,221101,CD69-,NK-Cells
1244,137,695.4358974,471.9845256,2534.038077,66.28765705,1.011723192,50.48076923,480.6499487,2518.385449,71.2873141,28.7126859,0.988794801,0.928839744,1155.683108,1050.30516,261.092004,205.7636264,442.0520844,6.05266521,0.108284087,45.36340306,206.3931426,540.3748056,5.167125987,5.167125987,0.09719623,0.052865789,191.5358282,199.270395,156,cyto,q_2n,q_2f,Control,M,221101,CD69-,NK-Cells
1468,116,641.1089744,565.3104808,2713.075833,62.83769615,1.042954737,62.70512821,495.6849295,2771.079487,70.79711154,29.20288846,1.00511925,0.912498627,1335.302579,1138.999571,261.5957377,332.7603028,657.5955167,9.409803553,0.13844987,47.05195727,326.3369808,748.5601202,6.115619812,6.115619812,0.086919613,0.046626835,260.623949,310.0551122,156,cyto,q_3n,q_3f,Control,M,221101,CD69-,NK-Cells
1655,75,647.4551282,599.0075,2766.864936,62.61866987,1.004349481,38.78846154,491.2812692,2669.509038,72.37507436,27.62492564,0.964221186,0.935464121,1376.551508,1074.490198,247.3453207,394.6458423,729.2356886,10.91404819,0.110909707,12.68527702,263.2189506,655.6916396,5.394860244,5.394860244,0.100055698,0.033565371,322.2290286,272.9224294,156,cyto,q_5n,q_5f,Control,M,221101,CD69-,NK-Cells
149,30,719.1592357,449.0441847,2599.152038,61.02716242,1.010784465,40.96815287,341.183121,2386.903439,73.26070318,26.73929682,0.945434554,0.943722767,1273.449915,884.9179092,283.1878626,209.2150085,459.6574816,7.012187188,0.111525422,24.47772938,107.7964514,317.9511685,3.192967491,3.192967491,0.101312664,0.029797976,225.1402554,143.7535535,157,cyto,a_1n,a_1f,Activated,M,221101,CD69+,NK-Cells
723,37,883.089172,428.5229936,2612.237643,60.9968293,1.016789624,32.92356688,572.7576051,2839.702102,73.98111975,26.01888025,0.998236796,0.964411661,1275.839616,1141.264174,228.4688549,102.4710568,194.1023439,7.563518571,0.108159691,22.17776127,334.4452836,784.122052,6.09078638,6.09078638,0.109850415,0.018045498,201.5661536,329.3846625,157,cyto,a_5n,a_5f,Activated,M,221101,CD69+,NK-Cells
775,111,959.4203822,424.3345159,2536.185223,66.74221274,1.035000121,35.61783439,458.9589618,2735.794904,73.24241592,26.75758408,0.989601643,0.963703933,1126.923593,1053.254384,174.8067111,77.12636348,177.2326368,5.601542366,0.111138307,12.95185119,299.0090441,734.481571,5.352781092,5.352781092,0.118411032,0.012423313,168.8335046,321.8608633,157,cyto,a_5n,a_5f,Activated,M,221101,CD69+,NK-Cells
1395,25,614.7707006,515.0245669,2744.292675,66.03593503,1.04136172,49.37579618,401.2149745,2665.878471,74.31707771,25.68292229,0.972697242,0.928702806,1248.613908,977.4183383,214.8192703,266.4672598,662.6493524,6.768896539,0.110202063,30.17946619,219.5222792,541.6218109,3.925148231,3.925148231,0.106966179,0.028330938,230.8928947,275.7140063,157,cyto,q_3n,q_3f,Control,M,221101,CD69-,NK-Cells
1422,56,595.4904459,575.6514904,2817.011465,59.38859427,1.026630146,68.03184713,604.8061656,2945.381656,70.74099936,29.25900064,1.002192637,0.905586,1453.469941,1256.512399,175.9998768,347.6830507,701.6037131,10.14360553,0.115063714,43.38917808,392.3442692,849.9753934,7.799967643,7.799967643,0.125272109,0.042959769,281.5612195,330.8627882,157,cyto,q_3n,q_3f,Control,M,221101,CD69-,NK-Cells
1466,113,638.3248408,551.4778535,2677.150382,65.83091338,1.043273522,69.43312102,344.1649873,2373.295287,71.86487006,28.13512994,0.986209758,0.907972491,1249.816231,907.2343577,320.2989432,280.0001145,657.630034,7.944496624,0.115421875,50.76091191,146.6066725,349.8380664,5.228609739,5.228609739,0.089450795,0.03099873,241.8649536,181.4003722,157,cyto,q_3n,q_3f,Control,M,221101,CD69-,NK-Cells
1628,35,531.9936306,453.0974968,2372.662994,68.09059618,1.018355732,36.17834395,445.6602229,2701.19414,73.45119809,26.54880191,1.035899064,0.933754715,1060.126298,1025.070774,118.0056766,182.7596143,388.4553589,8.941409986,0.122188239,15.37418048,177.9907047,589.252857,5.114257242,5.114257242,0.091622581,0.032155697,242.418283,177.4394474,157,cyto,q_5n,q_5f,Control,M,221101,CD69-,NK-Cells
1631,38,574.5350318,479.6702866,2531.616561,64.95738535,1.011031981,41.85987261,516.3539682,2786.909363,73.7187828,26.28121739,0.983439217,0.929539081,1184.107374,1085.331098,127.3608103,262.2814238,512.8597924,7.141054854,0.126712347,21.07144702,317.4766866,798.5030151,7.388368883,7.388368444,0.086165392,0.03667996,245.1046197,301.5394986,157,cyto,q_5n,q_5f,Control,M,221101,CD69-,NK-Cells
1841,37,516.9177215,519.5893418,2586.185443,63.84109684,1.035907576,40.51898734,541.6690759,2750.185823,73.11186392,26.88813608,0.998634203,0.926924998,1247.680861,1109.243707,98.5996838,259.1928968,558.8897207,8.295360564,0.10967857,19.17858463,372.2849394,861.5652331,6.438640441,6.438640441,0.1204446,0.032217516,258.2669013,369.614384,158,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
1885,99,500.4240506,497.2333544,2557.437595,65.98286329,1.017763481,55.42405063,436.9894114,2641.879937,72.32429684,27.67570316,0.958266835,0.901942699,1174.163997,1030.619838,145.7902382,290.0627079,623.1744669,8.235761289,0.121452913,37.69392225,312.4263829,767.8125545,5.009311781,5.009311781,0.122393502,0.051839462,281.7711283,338.1241458,158,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
862,42,524.6518987,436.1054557,2431.779873,69.71744177,1.030959342,45.50632911,312.6260506,2345.608797,74.80562405,25.19437595,0.982984987,0.916863848,1032.005362,822.2459859,136.4326636,174.835044,469.4866592,6.859749109,0.111630722,23.81878155,76.35969855,220.2526376,3.1087103,3.1087103,0.101526945,0.047610562,213.1021494,106.3745262,158,cyto,q_6n,q_6f,Control,M,221101,CD69+,NK-Cells
966,59,874.9874214,455.4756918,2530.929937,63.42974214,1.055660044,43.01886792,413.2679818,2533.223585,76.48450377,23.51549623,0.987156717,0.953335963,1217.517281,903.2915787,244.0775968,175.5035878,258.8590782,9.307549614,0.117012919,28.02925048,215.3135649,624.2359473,4.292402639,4.292402639,0.10807417,0.025200056,306.6728419,251.3811971,159,cyto,a_6n,a_6f,Activated,M,221101,CD69+,NK-Cells
1862,64,546.9371069,671.392195,2863.612264,51.06634969,1.054178899,43.48427673,533.6891132,3009.825346,73.24032075,26.75967925,1.037349082,0.924260268,1726.821751,1173.615158,72.95903875,433.6850978,495.840287,11.48940265,0.11202506,20.89026645,350.9702795,896.9775544,5.69876389,5.69876389,0.100798014,0.042499293,395.6503396,375.0045814,159,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
1869,72,759.8050314,502.2854277,2534.819119,59.43212767,1.04050639,50.77987421,407.7258553,2423.661132,72.34842956,27.65157044,0.914862113,0.931805168,1313.871042,959.9227782,296.5807781,239.6905003,441.8696189,7.19644626,0.127777998,43.37774145,166.1855103,427.9651521,3.817906767,3.817906767,0.115184342,0.052720812,216.2211943,187.3551541,159,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
623,19,746.7295597,458.097,2588.474528,64.90695346,1.039299031,88.93710692,435.5665849,2539.345597,67.8632717,32.1367283,1.038382302,0.908882002,1192.889458,1093.112618,391.8466292,272.5031141,536.2165841,6.572773232,0.114954414,98.1025481,260.0093398,605.1089686,6.998386477,6.998386477,0.122428745,0.054920545,260.0050083,238.790512,159,cyto,q_3n,q_3f,Control,M,221101,CD69+,NK-Cells
181,67,712.5625,537.518225,2718.90325,64.90448063,1.051896106,70.49375,374.7495625,2363.157063,72.1543375,27.8456625,1.02044065,0.90416417,1282.393515,919.2945519,304.5292003,297.3795113,632.0011503,8.452266097,0.116606269,49.68858959,166.769642,349.1040323,5.568080338,5.568080338,0.106391921,0.067431777,283.6795245,147.1743079,160,cyto,a_1n,a_1f,Activated,M,221101,CD69+,NK-Cells
1253,153,714.19375,503.1421813,2552.056,66.80338063,1.03086005,88.525,405.9600063,2524.046438,68.25697063,31.74302938,1.001232494,0.878423195,1169.621433,1071.008899,310.6169859,235.5808429,511.5824084,6.312482031,0.125955266,75.99205106,128.7682891,321.9547384,4.51555199,4.51555199,0.101731056,0.111120908,218.2475227,146.5442778,160,cyto,q_2n,q_2f,Control,M,221101,CD69-,NK-Cells
1398,28,660.65625,526.6719,2577.503563,61.24036813,1.050355794,53.7,382.3036063,2243.498813,71.24737375,28.75262625,0.994521631,0.923224745,1295.956912,913.5513507,189.5855807,267.2204205,604.7736664,8.488698716,0.103065885,32.86369793,193.2647594,418.0992944,4.707473084,4.707473084,0.104767586,0.043506302,245.4775108,222.1222996,160,cyto,q_3n,q_3f,Control,M,221101,CD69-,NK-Cells
1479,136,414.45,605.5185625,2829.858,67.78361313,1.0139204,31.38125,380.5643375,2446.322813,75.13014,24.86986,1.008087225,0.930428434,1296.226269,885.1862086,74.88228078,337.6439174,715.7099854,8.395306849,0.106629408,21.86720122,155.1889483,437.3234092,4.111851452,4.111851452,0.123397857,0.039420638,301.6240458,175.7128661,160,cyto,q_3n,q_3f,Control,M,221101,CD69-,NK-Cells
222,36,777.9,462.7787188,2528.346125,62.78334813,1.042167125,96.01875,303.84285,2317.284875,72.11638375,27.88361625,1.03345355,0.893828192,1218.339731,863.5132312,299.5902695,234.6491256,518.4097569,6.854788994,0.105688677,48.80901967,62.52227621,180.6649906,4.336062455,4.336062455,0.076224987,0.025514662,262.3375633,116.8257082,160,cyto,a_3n,a_3f,Activated,M,221101,CD69-,NK-Cells
660,165,478.89375,683.9037875,3025.739813,64.23352375,1.017381256,74.15,355.8917313,2432.807563,72.72705563,27.27294438,0.968125175,0.873035249,1477.66978,917.5600229,116.8973961,413.9919984,825.3676281,11.22395732,0.107145276,49.76071042,180.8150549,276.4091965,4.189112029,4.189112029,0.10035063,0.066796496,325.8473162,156.1997647,160,cyto,q_3n,q_3f,Control,M,221101,CD69+,NK-Cells
406,106,492.4906832,659.5161366,3019.550621,54.82637267,1.024003745,83.37888199,445.3742236,2731.028696,71.36980062,28.63019938,1.007690261,0.859115238,1701.242835,1081.777558,72.44550694,420.1206071,603.7215613,11.27688175,0.109027499,46.08700252,372.1054759,744.523931,6.279791347,6.279791347,0.11642111,0.066046704,365.4906089,356.0469277,161,cyto,a_2n,a_2f,Activated,M,221101,CD69+,NK-Cells
1189,60,600.8385093,486.9530497,2599.640497,66.23885466,1.030617366,54.55900621,384.8033478,2533.138385,69.58781304,30.41218696,1.005522429,0.915796303,1187.365617,1027.647595,177.4831647,254.7250256,465.2999521,6.107044672,0.109656496,34.22021419,197.7312703,485.7518864,5.81038809,5.81038809,0.121014561,0.049364145,196.8189062,232.8789547,161,cyto,q_2n,q_2f,Control,M,221101,CD69-,NK-Cells
1235,124,560.6521739,593.4112733,2854.523851,55.3609354,1.04156223,55.01242236,642.8747205,3145.215652,72.15755963,27.84244037,0.998475919,0.910728556,1585.960199,1313.069559,152.3515778,337.1544458,487.8808122,8.973727453,0.110982951,35.3411919,342.8071626,795.4390888,6.413077219,6.413077219,0.08675421,0.049131178,263.3889596,309.4517565,161,cyto,q_2n,q_2f,Control,M,221101,CD69-,NK-Cells
1474,125,572.0993789,652.2795839,2916.035404,60.67707081,1.048340255,68.72049689,462.9271553,2568.269627,70.36955839,29.63044161,1.004436615,0.900563951,1489.345629,1072.175217,179.183049,388.4051968,887.6834966,12.26920622,0.120491006,46.15669117,297.8369568,575.7960779,6.035746871,6.035746871,0.087111369,0.040297284,279.77542,269.7731501,161,cyto,q_3n,q_3f,Control,M,221101,CD69-,NK-Cells
1635,45,506.8074534,581.213882,2786.960559,62.66085652,1.036227118,42.19254658,558.1563416,2869.562298,73.68578509,26.31421491,0.981317447,0.920389913,1374.169639,1150.306656,121.6848139,368.4458028,708.1651798,10.21260812,0.109824324,21.80181057,328.2683497,625.4062549,6.516888217,6.516888217,0.115376367,0.040937287,292.3176506,263.8904153,161,cyto,q_5n,q_5f,Control,M,221101,CD69-,NK-Cells
1909,140,654.3478261,533.4140373,2605.793478,58.46589193,1.028575174,41.08695652,528.090646,2668.587578,72.47555839,27.52444161,0.97482605,0.939459586,1367.366415,1101.207421,222.3394438,317.0418728,670.2861398,8.489182487,0.111472461,19.87252856,282.0656446,582.6134041,6.43945943,6.43945943,0.115122198,0.026214479,281.5692278,251.8055315,161,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
1916,152,603.0372671,596.2902733,2700.117764,56.55051429,1.02049813,38.29813665,453.0644099,2569.95236,72.87799627,27.12200373,1.009989528,0.943271734,1486.394771,1009.190558,227.4731272,367.9286801,611.3133552,9.673516634,0.115175317,29.29992422,238.6818727,669.6709147,5.604425109,5.604425109,0.131826956,0.021834791,285.1366831,243.7599726,161,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
513,29,557.4285714,423.3129006,2378.529689,67.19096025,1.007405621,89.39751553,400.421559,2525.460124,69.83419689,30.16580311,1.068213702,0.877378162,1054.307009,1034.41726,204.4472338,199.970755,464.4682081,5.401357923,0.102867471,80.72006252,162.1244612,454.4481982,4.301889274,4.301889274,0.130408809,0.067416474,202.0109542,187.6111122,161,cyto,q_2n,q_2f,Control,M,221101,CD69+,NK-Cells
855,29,660.9254658,541.3977578,2585.990062,57.00742547,1.026946366,52.85093168,498.9988137,2705.696894,72.75265714,27.24734286,0.992270826,0.930422269,1406.012617,1073.437664,211.6743239,316.9111794,489.6717152,8.938585115,0.110177565,60.64128247,288.757737,745.027735,7.034848044,7.034848044,0.090158768,0.053571007,300.1221669,284.6955569,161,cyto,q_6n,q_6f,Control,M,221101,CD69+,NK-Cells
416,120,567.5246914,449.4541296,2406.836543,72.77442654,1.029992253,42.08024691,427.7307963,2608.707284,75.52597099,24.47402901,0.973915784,0.928100166,978.5684864,942.9418848,175.2859315,219.5308972,539.3681887,6.011496698,0.105490648,21.19386364,130.2698089,600.0849749,4.615190129,4.615190129,0.103824127,0.033192912,275.5661035,143.2531759,162,cyto,a_2n,a_2f,Activated,M,221101,CD69+,NK-Cells
559,59,831.6604938,432.4369877,2485.448827,58.6552463,1.053233562,91.2654321,404.9951605,2400.406543,73.03882593,26.96117407,0.931465543,0.9151301,1277.982197,940.4152082,298.3821003,152.7250013,197.1676431,6.680742483,0.115154679,97.33675892,195.7123528,389.129584,4.652060728,4.652060728,0.094212672,0.049045374,231.1631968,192.5216525,162,cyto,a_3n,a_3f,Activated,M,221101,CD69+,NK-Cells
752,80,930.1049383,395.0425988,2379.406049,70.00691111,1.026704611,75.81481481,367.1086852,2463.50216,70.74382407,29.25617593,0.960288969,0.921504189,989.8057729,970.0114079,294.5467011,82.37458206,174.7152467,5.109294044,0.098808804,52.03751898,121.8084016,473.3619953,3.672341581,3.672341581,0.09872118,0.050777488,150.2058244,137.7089701,162,cyto,a_5n,a_5f,Activated,M,221101,CD69+,NK-Cells
1170,35,541.6358025,482.7690494,2595.625926,63.06108704,1.031851957,47.17901235,452.432858,2491.199815,73.11267037,26.88732963,1.019250778,0.916641128,1244.929324,985.9381206,162.2300627,240.5999356,520.9832487,7.065633631,0.108887206,30.68329594,296.2523005,659.4873004,6.25048497,6.25048497,0.112935304,0.05373819,209.6070804,309.5158614,162,cyto,q_2n,q_2f,Control,M,221101,CD69-,NK-Cells
1206,83,604.8024691,575.562284,2686.64821,62.15067469,1.022340679,73.37654321,471.4863457,2525.641728,65.91480988,34.08519012,0.972461957,0.895926852,1350.896937,1158.069006,167.8634405,288.666372,551.7537717,8.932915861,0.128217946,42.95541751,202.4587832,449.2140031,6.782898502,6.782898502,0.090229837,0.042070012,211.1522624,193.5343151,162,cyto,q_2n,q_2f,Control,M,221101,CD69-,NK-Cells
1227,107,664.9814815,529.3132654,2646.873827,66.49812901,1.04186871,67.24074074,428.5536049,2604.608951,69.62068457,30.37931543,0.995636642,0.910989661,1226.272219,1078.638499,312.5914618,212.2392432,478.8325229,5.277008211,0.124243341,43.28366719,184.9693935,490.9900891,5.718412284,5.718412284,0.093722651,0.044000942,200.553546,224.9442731,162,cyto,q_2n,q_2f,Control,M,221101,CD69-,NK-Cells
1625,30,550.6234568,618.2805,2913.052037,63.75268889,1.048934951,48.01234568,506.5033272,2833.581358,76.03284753,23.96715247,0.972398858,0.91091011,1406.048382,1050.029844,208.6039076,364.050697,883.9869171,10.21966375,0.095584613,33.38240464,263.4221964,725.3726715,4.789570507,4.789570507,0.088562219,0.066331559,305.2447221,304.4484232,162,cyto,q_5n,q_5f,Control,M,221101,CD69-,NK-Cells
1697,147,622.6975309,502.037358,2852.74858,53.17150247,1.04077337,41.20987654,642.2844444,3075.77716,75.86659074,24.13340926,1.050687309,0.934400953,1588.602491,1211.496821,147.8242657,291.2587502,487.1358958,7.748490545,0.126097859,24.05749637,380.8678991,799.9663562,6.238334484,6.238334484,0.106057566,0.040407087,300.5373639,378.1368655,162,cyto,q_5n,q_5f,Control,M,221101,CD69-,NK-Cells
1915,151,629.0432099,535.2133457,2658.890432,58.92897346,1.038295426,37.59876543,416.9408951,2530.508704,74.65552778,25.34447247,1.003497056,0.939331893,1378.451762,941.1976075,218.66442,337.6816005,682.6497857,9.469572394,0.114425714,20.09216648,339.0301473,685.4703263,5.175917168,5.175916285,0.108057067,0.032987665,308.938985,348.1428693,162,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
431,50,682.2901235,499.9766296,2776.714938,52.50018765,1.06096216,28.18518519,458.1870679,3039.261914,78.61644568,21.38355432,0.949941309,0.960272879,1574.229433,989.0915623,42.68440914,221.9483955,266.0896021,7.291169724,0.110923145,6.129272217,246.9113449,818.2994466,4.909613842,4.909613842,0.101441905,0.008588108,253.6139008,301.7084533,162,cyto,a_6n,a_6f,Activated,M,221101,CD69-,NK-Cells
385,76,606.3865031,475.735184,2571.249264,61.24092209,1.028660074,40.48466258,379.8223558,2471.498589,74.30011902,25.69988098,0.963124196,0.939399918,1273.198365,907.7700152,184.9911685,251.253363,537.7881248,7.312127654,0.123886007,30.31813942,138.8299096,440.9138,4.138098177,4.138098177,0.08298526,0.031463168,266.9337412,191.0484005,163,cyto,a_2n,a_2f,Activated,M,221101,CD69+,NK-Cells
988,89,848.404908,429.4031227,2564.362699,60.07143742,1.046419521,44.93865031,668.9060675,3071.116564,74.01325521,25.98674479,0.978578656,0.948206114,1283.200475,1265.704227,258.1872141,134.5061894,229.1304021,7.568346244,0.112490779,31.28082544,351.7137568,847.9706295,6.84152357,6.84152357,0.086750524,0.032217198,256.5395768,343.1465531,163,cyto,a_6n,a_6f,Activated,M,221101,CD69+,NK-Cells
1870,73,554.3742331,501.0807055,2536.105399,62.02008221,1.016408172,31.31288344,406.1315215,2322.519939,80.69066933,19.30933031,1.027300791,0.94242691,1255.935511,771.8033187,132.9158318,290.0892211,555.8104507,7.634355272,0.101838943,11.00421999,286.5932572,612.3694735,5.288857186,5.288857865,0.114558089,0.028331042,266.0574092,342.5528978,163,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
624,22,550.9509202,609.243638,2825.249939,65.38269202,1.019432141,65.55214724,380.3111963,2441.966994,71.8335411,28.1664589,1.016766362,0.895410607,1337.01513,954.7546515,231.0622492,335.4439799,770.0598843,9.762888154,0.111709927,48.60982898,178.8330203,495.5554019,5.311314964,5.311314964,0.085594087,0.059043549,269.1913832,223.3694754,163,cyto,q_3n,q_3f,Control,M,221101,CD69+,NK-Cells
1484,144,583.097561,571.0595915,2736.3975,62.72204146,1.041955433,58.06097561,491.0767866,2523.397317,74.03059207,25.96940793,1.085333104,0.90272008,1342.413833,1006.756902,201.795627,356.1110043,763.0916317,9.433417489,0.117427925,34.6223615,325.8807735,616.6460283,5.615261932,5.615261932,0.134873461,0.063881416,299.5080626,303.1426521,164,cyto,q_3n,q_3f,Control,M,221101,CD69-,NK-Cells
549,150,507.6097561,533.4610427,2616.004451,65.06584024,0.977324744,58.89634146,408.0265854,2559.079878,71.95517012,28.04482963,1.025107195,0.897961901,1244.202813,1001.474763,133.9317431,269.9823234,529.7794901,7.517816688,0.12182527,40.11434866,197.1470368,423.4031571,5.073195707,5.073196705,0.108438578,0.055954614,203.2830452,192.5312467,164,cyto,q_2n,q_2f,Control,M,221101,CD69+,NK-Cells
864,56,504.9085366,650.6930122,2956.720732,60.69937561,1.050707134,50.29878049,519.233878,2719.346098,73.5507561,26.4492439,1.004180518,0.914862622,1509.635317,1084.097378,137.7645281,362.0179285,851.9366255,11.38175196,0.104720214,48.2374215,360.1436903,774.0388581,5.813968129,5.813968129,0.110957827,0.060191404,287.2435374,369.4947793,164,cyto,q_6n,q_6f,Control,M,221101,CD69+,NK-Cells
717,25,762.2666667,415.4861636,2498.038727,64.38232061,1.049371848,28.58181818,461.0932364,2534.515697,74.78980727,25.21019273,0.985857915,0.963383641,1160.605883,967.017973,115.099116,146.8383463,281.7539441,7.419548218,0.108233032,6.826305582,290.722311,684.3706081,5.7971722,5.7971722,0.116254476,0.009275973,281.5623677,321.6407714,165,cyto,a_5n,a_5f,Activated,M,221101,CD69+,NK-Cells
955,45,931.0242424,435.3800242,2586.759758,65.08000848,1.073639794,93.81212121,352.0315515,2335.643455,71.2568703,28.7431297,1.017011109,0.916650349,1186.519245,919.3005365,335.7379014,121.8533365,209.075604,7.58484374,0.101246449,83.05394866,83.44188177,215.8547849,3.223379735,3.223379735,0.104388294,0.037726343,238.5648158,112.4305582,165,cyto,a_6n,a_6f,Activated,M,221101,CD69+,NK-Cells
1185,56,570.0363636,530.3562667,2701.085394,62.93487636,1.018823309,54.38787879,601.6159576,2853.756545,71.43802364,28.56197636,1.01465517,0.912511815,1310.445338,1216.792639,219.325682,282.4998488,582.058185,8.58681026,0.114341412,37.55103647,352.5403847,812.5465723,7.485049442,7.485049442,0.113934833,0.052056097,222.2585283,323.4956322,165,cyto,q_2n,q_2f,Control,M,221101,CD69-,NK-Cells
