,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Cell_Size_Pix,activation_label,Activation
688,1122.795468,59.19640804,300.758375,2320.757054,860.0465028,71.02620625,238.852183,2395.004464,0.92346976,112,0,CD69-
278,1524.886973,58.30161667,573.7027333,2876.9615,785.6866819,77.23112,229.8062167,2729.537333,1.105168668,60,0,CD69-
805,1142.623726,55.7969,291.562,2218.09,1223.244497,79.00215,561.961,3978.04,1.143463912,2,0,CD69-
366,859.2344353,74.01202,379.248375,2225.333,623.3895463,74.7341975,180.75235,1932.96375,1.016342034,40,1,CD69+
708,1067.881075,56.71172,252.4349333,2141.411333,661.471404,79.36887333,206.4137067,2406.796,1.155283644,15,0,CD69-
279,1489.374725,50.66099268,426.2362073,2601.083659,578.6784095,78.82529024,149.9812073,2162.691829,1.120149618,82,0,CD69-
1074,710.2371576,79.98638281,387.2489219,1985.63,822.9446187,76.55553281,348.0862969,2424.570781,1.398415979,64,1,CD69+
959,1266.626614,56.95826306,336.9299279,2497.984595,845.9758468,70.61582883,211.9457234,2379.997207,0.889956735,111,0,CD69-
775,1042.653061,61.22924286,278.6000714,2254.464524,697.0289493,74.95964524,201.9272381,2184.019286,0.603150329,42,0,CD69-
652,1149.263272,58.33417857,280.8209048,2369.808095,791.5916614,71.88327381,199.0038333,2323.54381,0.902198662,84,0,CD69-
1160,776.3513638,77.24181538,365.4436923,2172.528462,569.7709489,79.85785897,212.6115128,2007.131282,1.238831873,39,1,CD69+
206,1515.021083,48.07631339,417.7969509,2548.066741,617.7524371,79.49599643,151.5350594,2433.858884,0.997439852,224,0,CD69-
230,1532.130541,47.83117158,506.9115789,2494.729789,542.3296968,82.88138211,191.6083547,2224.192737,1.041411107,95,0,CD69-
685,1181.543686,60.75512167,372.2534,2439.500333,833.4649654,70.53976167,215.17075,2343.148333,0.921463434,60,0,CD69-
190,1360.824069,56.89831827,483.6086442,2540.544327,495.014141,80.06410481,106.2682702,2047.127692,0.945028009,104,0,CD69-
1092,1052.130388,69.58884231,427.7608077,2488.596154,797.0698829,77.78305769,363.6475769,2336.777308,1.354951208,26,1,CD69+
869,1323.803332,54.04709667,336.5143667,2487.776333,796.2048469,77.30646,249.9866067,2690.580667,1.116383632,30,0,CD69-
145,1286.935276,53.74317917,372.2710833,2353.42375,947.6102711,67.17563333,227.1628542,2429.472917,0.822236032,96,0,CD69-
733,1249.334775,58.88476703,341.3942637,2552.413187,843.4457484,74.77486813,294.6413165,2499.785604,0.927429613,91,0,CD69-
318,848.2534878,77.47476184,439.9682895,2260.270658,454.7071891,82.39764868,159.3084829,1848.412434,1.151850296,152,1,CD69+
312,927.8554348,74.16035,452.0829286,2309.051633,483.7008754,85.17831939,215.9230276,2173.610286,1.185922353,98,1,CD69+
255,1466.205548,46.44999681,364.4885,2427.040213,671.2850583,80.64241383,230.6934787,2523.290745,1.066127066,94,0,CD69-
625,1081.491389,58.06924545,217.283,2280.113636,650.2626209,78.93069091,172.8402182,2432.281818,1.121014799,11,0,CD69-
1024,1111.408529,64.08711538,407.2289231,2374.858846,622.086011,80.39181538,232.9324269,2231.871154,1.358336617,26,1,CD69+
1144,876.3561081,74.07163793,382.0010517,2288.711724,738.6931349,78.58985345,307.9215776,2361.780345,1.369126338,58,1,CD69+
988,1288.815656,55.84333333,333.2305,2498.166667,944.6364395,75.41458333,394.2655,2747.478333,1.171949464,6,0,CD69-
144,1097.468842,58.785575,272.14125,2277.533125,743.6387626,76.03261875,253.4472563,2313.0025,1.083966051,16,0,CD69-
744,1179.012555,57.89744718,311.8672817,2376.405986,927.8053335,68.56422254,244.2104127,2445.36331,0.808753331,142,0,CD69-
1013,1198.435153,59.80558037,323.6316168,2502.078972,699.7545569,74.71095888,190.3869785,2216.983178,1.050610915,107,0,CD69-
131,1345.908008,53.33812737,395.2987684,2436.825158,787.5021934,72.25686737,180.6293474,2368.695263,0.760095377,95,0,CD69-
252,1533.137105,56.14583158,546.0563684,2803.264211,784.4452407,75.03098947,250.7078168,2448.569158,1.033346053,95,0,CD69-
330,776.1858316,80.36662049,439.3951967,2181.305328,560.0724468,79.22165082,211.7877607,1974.659918,1.177014981,122,1,CD69+
883,1391.225017,48.22074815,298.0625556,2412.821852,821.8538781,73.13149259,202.139,2524.243333,0.831985049,27,0,CD69-
215,1681.859316,56.48588824,669.2886765,3056.159118,643.3178988,78.99847647,202.8262941,2307.080294,1.060907584,34,0,CD69-
530,885.9959055,75.01516788,438.0893942,2249.959708,542.6051193,80.0942635,202.7995401,1933.114015,1.085136621,137,1,CD69+
457,800.8472662,76.59359324,380.6789932,2182.040203,599.0546841,78.49573378,219.2332568,1990.571419,1.000256381,148,1,CD69+
994,1199.436435,59.59132963,328.3798519,2485.954815,894.6941763,69.18869012,261.8571407,2348.516049,1.03858975,81,0,CD69-
789,1262.781284,57.67782093,369.879814,2487.507209,731.8473364,75.42423953,228.8889093,2288.079535,1.076559452,43,0,CD69-
592,1174.207254,61.64558,360.6934,2484.282,606.4621272,78.6976,176.9048,2241.145,1.162314218,10,0,CD69-
689,1235.257103,55.70585,315.7863833,2396.179167,896.6905184,72.13501167,283.39895,2516.889333,1.028701241,60,0,CD69-
610,1318.092857,54.00873444,317.8060778,2490.192444,877.7400663,71.53906667,268.6955444,2429.271222,1.062894912,90,0,CD69-
241,545.3648003,80.63676083,150.3754871,2097.250042,467.9903383,84.94734125,143.5154388,2259.543458,0.937329579,240,0,CD69-
154,1195.969374,56.96713529,324.7762941,2351.127353,918.8180323,70.30935294,337.9855882,2355.632353,0.911246268,34,0,CD69-
878,1168.631758,58.43194681,289.075766,2412.296383,496.1086564,85.03047021,201.308766,2105.303191,1.017085584,47,0,CD69-
261,1417.387081,60.14143125,624.43375,2708.44625,452.5756447,82.72663125,105.3274625,2109.755625,1.084486238,16,0,CD69-
127,1397.772926,49.37050714,397.5488571,2373.631429,844.9218647,73.7274,296.8072143,2413.661429,1.150796611,14,0,CD69-
945,1329.961386,55.17396667,338.2668333,2558.803333,1045.183528,72.2439,382.035,2815.511667,1.223206733,6,0,CD69-
1034,1025.071288,72.27290833,456.9331667,2527.9625,594.3647569,78.59574167,206.6088083,2038.245,1.37438037,12,1,CD69+
472,908.46623,76.75671429,489.3487857,2305.169286,529.4794468,81.27607857,190.0001429,2017.349286,1.133349207,14,1,CD69+
403,906.6814765,74.74766364,417.5830909,2382.075758,657.53877,73.97171212,211.4522424,1939.413636,0.887150549,33,1,CD69+
150,829.0809814,76.72851311,407.7970082,2212.993852,614.5217903,79.53766967,209.6608607,2200.026557,1.142102109,122,0,CD69-
618,1195.555176,59.2086038,336.2408734,2450.084304,683.4263053,76.46104684,178.588243,2332.895316,0.883874158,79,0,CD69-
413,982.5371882,68.85283929,415.897875,2236.661964,515.6345551,82.07284821,194.75525,1988.957143,1.103312955,56,1,CD69+
320,912.449183,73.69361632,424.9746947,2299.462579,515.7886726,82.24540474,202.9134074,1980.354211,1.146048486,190,1,CD69+
709,1333.260981,52.312225,378.6077083,2387.377917,906.6563287,66.95269583,189.227375,2375.960833,0.826210107,24,0,CD69-
619,1304.906003,52.06176667,315.612,2379.173333,603.7470035,80.61313333,97.05796667,2714.433333,1.097906358,3,0,CD69-
681,1144.296761,59.18707143,328.0157959,2336.268367,885.0220491,70.55124082,266.4224694,2373.948571,0.82248667,49,0,CD69-
492,878.8040534,75.57171053,428.3081579,2303.083158,558.7058371,79.90897368,168.9704421,2115.638421,0.998905828,19,1,CD69+
982,1317.639219,56.53468009,375.9980226,2546.832443,914.3247129,69.20400452,229.8722448,2473.451312,0.960672762,221,0,CD69-
828,1038.959154,62.01432593,254.1555062,2322.577284,805.6389778,72.5494,220.3373716,2363.33,0.853229332,81,0,CD69-
352,924.1886832,70.07074471,389.7110471,2182.432824,569.84188,76.91361647,180.8636588,1874.474,0.927908607,85,1,CD69+
95,1213.22766,57.36542923,368.6825538,2353.487385,821.6504587,71.82836615,184.6125338,2452.134923,0.745079339,65,0,CD69-
113,986.3401755,67.86157193,397.1908947,2233.952456,550.9605718,83.8415614,254.8428333,2156.136842,1.242716029,57,0,CD69-
853,1177.370003,59.90092637,317.935978,2465.527912,996.5014436,66.46595165,284.1973879,2441.917582,0.923758077,91,0,CD69-
37,1265.823063,57.68916974,360.3759211,2506.332368,561.1432155,79.093725,156.8017237,2094.892895,0.864012868,76,0,CD69-
601,1092.65357,60.98420588,299.0487647,2336.206471,779.4095414,73.09242471,210.3738588,2348.273765,0.821531143,85,0,CD69-
143,1249.001829,54.05394375,343.0582917,2317.869167,806.1239566,74.01195625,223.59375,2466.311458,0.806615237,48,0,CD69-
723,1297.941299,54.02882614,345.5955,2418.824659,745.4180827,74.60706136,207.9775341,2334.854205,0.773645763,88,0,CD69-
158,1076.628043,62.96453649,308.5227027,2385.419459,786.9033018,71.25232027,230.6532703,2184.591351,0.913133341,74,1,CD69+
