,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Cell_Size_Pix,activation_label,Activation
4560,679.8302386,74.12336839,209.4672859,2037.056572,191.3595603,92.58281381,47.71131379,2015.412877,0.96878138,258.0,0,CD69-
2503,611.0980066,80.9733014,263.6865753,2126.072873,293.5126148,89.0873862,80.93869892,2032.021513,1.031576067,117.0,1,CD69+
7696,952.0927587,71.1317871,388.3984032,2343.540323,833.1892009,72.73175645,271.2511532,2358.894839,1.220490097,62.0,1,CD69+
3047,591.9842316,78.6581256,226.6567092,1963.621719,426.3021563,85.36049552,144.1799296,2068.224491,1.014137646,184.0,0,CD69-
6275,1070.204893,70.85663978,359.8711075,2848.001505,678.4343546,74.60757025,232.9569749,2073.034695,1.03675717,279.0,1,CD69+
1681,635.5213618,79.78560754,266.8753886,2101.977785,288.0846106,89.75683581,75.68201648,2160.619023,1.003797092,226.0,0,CD69-
5905,943.6213746,62.34080127,271.2201228,2080.874304,519.6989046,75.84231266,165.3282658,1644.618608,0.999389193,79.0,0,CD69-
2800,647.8702761,79.20331189,264.1394366,2131.174744,378.577595,86.33549902,97.35050812,2167.845357,1.011163814,161.0,0,CD69-
3215,581.5688772,81.8430731,247.258753,2096.049686,313.6081723,87.78848928,101.6720864,1877.891325,1.024019257,181.0,0,CD69-
6042,1032.162707,57.63115758,246.6861646,2117.637071,538.6655447,77.26145556,171.350697,1778.029293,0.942587479,99.0,0,CD69-
6370,1233.466826,63.22880033,437.4104459,2622.413115,883.3014524,71.59107869,282.3851639,2430.842623,1.019654985,305.0,0,CD69-
2581,605.3914343,80.99982545,272.6166358,2039.06643,241.3789501,91.70553751,76.8458838,2096.401759,1.094757341,1008.0,1,CD69+
243,604.7953239,80.26589375,235.3178231,2103.559822,255.1227062,89.08649871,80.51659031,1763.529516,0.926362021,185.0,0,CD69-
5800,1087.076139,60.19037614,333.149108,2235.440568,568.4626562,78.2493,186.3662875,1939.831136,0.969567256,88.0,0,CD69-
4497,675.9380081,79.42333405,329.7166205,2022.241568,282.7800063,89.05087438,82.90439179,1925.178561,1.154592834,269.0,1,CD69+
6128,938.7682659,63.65557965,308.301039,2040.180531,522.8174488,80.33297168,190.6351681,1845.820796,1.01110299,113.0,0,CD69-
6080,1096.832638,59.88893409,347.3413068,2231.292045,548.6650402,79.16440795,165.4399136,2019.837273,0.989171197,88.0,0,CD69-
3543,589.6500518,83.00632477,274.8795901,2142.950828,201.811573,92.17971312,67.44560767,1767.036992,1.061215303,108.0,1,CD69+
6904,826.7463954,76.88708367,419.8578397,2187.491924,727.7673762,76.39833003,225.1483665,2372.528601,1.120068316,343.0,1,CD69+
2695,544.8880875,84.04086315,261.393436,2067.770902,232.7027939,91.7444583,62.81848226,2131.376109,0.916614573,396.0,1,CD69+
3549,559.2378717,84.72385848,292.1232605,2082.523161,137.1133748,95.29317248,49.16721901,1928.339863,0.907397079,248.0,1,CD69+
4546,761.4309398,73.05051464,244.7017574,2170.01459,184.2741925,92.39239203,67.94185174,1571.876088,0.947205615,255.0,0,CD69-
5323,748.1782272,73.36349485,348.0802784,1871.239381,634.826251,78.45715464,217.4558897,2136.936907,1.062207268,97.0,1,CD69+
1659,598.8494847,80.71771831,268.1318404,2005.786376,104.874269,93.89252928,55.64803677,1624.241455,1.016582471,345.0,0,CD69-
4710,722.9085869,74.93297332,279.9964166,2057.305894,289.4538988,89.71834237,87.67667116,2078.514265,1.14028653,216.0,0,CD69-
2333,704.233038,78.50428776,280.162805,2269.390423,406.412469,83.89121927,104.0708138,2009.890282,1.054933058,239.0,0,CD69-
4567,449.4372075,80.21092478,133.0735664,1769.745005,133.629531,94.99686033,39.94813863,1922.04028,0.509231774,139.0,0,CD69-
5726,852.3780226,70.7826549,362.7749706,2022.644608,443.1263216,79.51096765,137.2249,1637.741569,1.056918672,102.0,0,CD69-
1297,806.247765,76.74257747,356.2391908,2354.533801,63.71487978,98.55018785,38.36674542,1763.374457,1.085592128,205.0,0,CD69-
7190,1099.249537,62.68732593,301.6080185,2446.236111,777.8627863,74.85479815,236.410613,2407.045185,0.994863687,54.0,0,CD69-
1674,631.551114,79.83002342,261.9030718,2099.506239,286.4507314,88.47358829,70.92554717,1949.245959,0.975384198,200.0,0,CD69-
5503,930.8019296,65.39563529,340.3999916,2072.268571,592.5980232,76.83615294,192.5029328,1934.032017,1.026493032,119.0,0,CD69-
2352,645.4360737,79.54022033,254.3282411,2173.684823,227.7042257,92.12861233,72.64585252,2040.652129,1.005311002,222.0,0,CD69-
5883,864.2826323,67.53816771,334.7248958,1975.222917,513.4771108,78.88347188,154.4126271,1860.310104,1.032644672,96.0,0,CD69-
3995,544.8089353,86.15774605,293.2081678,2129.477572,195.1037722,93.93969534,63.98139585,2251.40694,1.162014196,713.0,1,CD69+
5929,941.5365701,67.081055,320.5833,2213.157375,555.4724237,79.3028475,201.79235,1918.42175,1.023550382,80.0,0,CD69-
611,688.270661,78.86365431,278.1753127,2228.490952,364.6254289,85.47837531,132.997949,1737.330405,1.044557917,202.0,0,CD69-
1407,650.7330014,83.86244485,301.4323514,2530.485924,326.210429,89.9750149,122.062877,2278.703785,1.144355734,193.5,1,CD69+
2474,751.5899859,75.39533182,267.2132152,2246.504207,316.9940275,88.30728869,93.57995692,2016.547349,0.980106483,186.0,0,CD69-
3232,619.3380245,79.19917753,249.702151,2026.809921,404.8511017,81.16526566,129.2048862,1599.251996,1.082023968,217.0,0,CD69-
373,640.3084336,79.28027754,265.0956879,2082.91742,345.0543791,87.57560016,80.81889657,2192.933383,1.03185755,162.0,0,CD69-
6780,1547.301579,49.04101351,456.6933311,2602.290203,738.4601988,74.93582365,184.1656054,2407.53473,0.974015503,148.0,0,CD69-
3062,636.2613073,78.89330716,245.441851,2134.201475,322.4009666,89.44944954,94.61098814,2277.507492,0.933369923,83.0,0,CD69-
3752,636.5367176,80.16356901,230.8084057,2278.724472,360.4351665,88.74510783,113.8915666,2450.077342,1.133816014,193.0,0,CD69-
6823,1369.626669,54.33503137,407.0782598,2515.419804,510.0334296,81.48009167,137.3584676,2129.907696,1.107422852,204.0,0,CD69-
6218,992.7974337,73.29806084,404.5112937,2638.421958,821.4072367,73.96016154,292.9777423,2362.254406,0.968359521,286.0,1,CD69+
6714,1498.63928,48.02689798,441.8784242,2482.415657,565.4361753,79.76355758,128.4195798,2261.704242,1.061731608,99.0,0,CD69-
4758,756.2774976,73.45743251,273.9067266,2100.674028,306.7511175,88.96183418,88.38461752,2092.2853,1.037379505,252.0,0,CD69-
236,624.112881,80.86898654,275.8541957,2105.300353,355.2573287,83.11399479,81.15775147,1752.836671,0.95124451,185.0,0,CD69-
1344,551.4557094,82.92738999,276.6833845,1885.497428,311.618715,91.37019487,102.9421674,2492.745967,1.169768256,613.5,1,CD69+
2321,599.1574445,80.11083082,234.2516087,2082.289082,278.5964587,89.87040913,110.4486971,1733.938276,0.983475228,190.0,0,CD69-
1218,579.643126,83.09685404,281.9521266,2038.734202,318.239903,88.48761016,100.7686878,1994.52421,1.140279622,348.0,1,CD69+
1776,595.581536,80.60404013,240.0062765,2073.168994,280.30968,88.71338607,72.76640818,1979.45949,0.951047581,188.0,0,CD69-
1498,418.8144703,84.21550142,235.9492695,1427.701283,243.9668403,88.07903841,92.18078752,1709.318958,1.129654037,261.0,1,CD69+
7222,1167.290534,58.48391667,313.6618333,2372.317917,716.614794,71.9036,144.1352042,2199.986667,1.028181835,24.0,0,CD69-
5041,789.8983502,71.45770855,320.1868872,1979.484359,538.4492419,79.94238718,169.9080966,1984.54,0.964724935,117.0,1,CD69+
2097,581.2296448,78.42111804,208.8610059,1936.504831,152.069879,94.98529403,60.47843184,1953.895525,0.931524589,159.0,0,CD69-
5825,1104.605097,61.8684407,352.4735814,2338.274419,521.9957842,77.95663023,157.9886314,1831.534186,1.020496378,86.0,0,CD69-
4636,756.6923736,74.95118972,280.5885553,2189.465812,104.9527344,96.33064948,33.93417473,2103.435869,0.917733785,264.0,0,CD69-
4206,542.8079243,87.24951611,300.4348203,2212.817857,254.1110439,92.02681468,81.48732711,2252.6619,1.152149108,396.0,1,CD69+
5727,857.6865025,68.09762105,276.6126307,2054.133596,462.9330304,78.45063772,139.1379193,1613.822719,1.047309759,114.0,0,CD69-
510,535.3893831,82.31356787,218.6766928,2016.831834,273.2800232,89.8869673,79.79055935,1956.24703,0.954953061,180.0,0,CD69-
1613,573.6106242,82.1186357,255.4810581,2048.44355,338.1240145,87.3907427,112.0945078,1924.346773,0.934826824,182.0,0,CD69-
6091,1114.377706,57.40296395,277.5452581,2254.758721,609.5942327,77.45577209,206.3864884,1999.309419,0.973914006,86.0,0,CD69-
1623,614.9118335,79.30411876,241.6342786,2041.074839,143.5912966,95.64893475,62.9919673,1873.824243,1.026195804,207.0,0,CD69-
2045,664.8813954,78.11256206,261.4788865,2108.07605,287.5430795,89.87098838,85.52448986,2052.632025,1.02521926,194.0,0,CD69-
6188,905.8307,76.53440686,389.7417745,2659.567549,870.3748935,71.36537451,283.4772578,2435.027647,1.13041133,102.0,1,CD69+
3163,651.8979285,78.63582949,266.5693449,2082.217869,483.0957421,81.99519475,133.8121673,2075.087775,1.06532768,201.0,0,CD69-
6379,1172.243016,63.63075802,417.083972,2535.6443,963.5536253,71.82247532,308.6313394,2688.877888,1.049537563,393.0,0,CD69-
3372,646.3596383,77.63841211,226.5819816,2088.448993,324.5165655,88.34399242,94.01043828,2081.993422,0.981544042,323.0,0,CD69-
5815,931.9668193,65.15068381,319.8043333,2092.356,615.1623089,75.91992952,206.4864381,1909.518,1.001562837,105.0,0,CD69-
5703,801.5101581,71.37768824,359.2854424,1947.127765,319.6725344,88.3265,127.8221882,1660.449447,1.035953858,85.0,0,CD69-
6846,848.3887268,76.48157848,419.9888101,2257.441266,461.2330043,83.10826456,202.9279025,1803.609494,1.159127507,79.0,1,CD69+
78,574.0635376,81.45540237,176.7534943,2313.459961,227.0208282,92.4306488,56.81509972,2311.915039,0.895413487,51.0,0,CD69-
6500,1202.4332,64.42359636,420.400897,2646.59297,1063.032269,69.66686697,347.6270606,2776.163152,0.990688833,330.0,0,CD69-
2317,603.5277019,79.67982036,242.5503433,2020.808051,312.7224781,87.88533336,117.3260134,1725.367583,1.066694919,197.0,0,CD69-
6092,1203.048803,53.86698173,250.8254567,2332.122788,599.079067,76.74371058,191.2660692,1927.627981,1.003322137,104.0,0,CD69-
6644,999.3578096,61.8453375,222.6225625,2260.71375,813.4756814,71.9313375,206.3690896,2364.697917,1.111805301,48.0,0,CD69-
2874,546.2033875,83.22216948,251.2473178,2020.848336,342.7408972,87.3146895,90.7087492,2095.128598,0.998736313,207.0,0,CD69-
4409,706.0691864,79.11899779,338.3178794,2113.931059,204.0659087,92.31168971,65.36284684,1878.289061,1.153068442,412.0,1,CD69+
6632,1356.379614,53.51333529,328.8375294,2542.108235,953.3637235,68.70727647,288.9382882,2417.342353,0.988669848,17.0,0,CD69-
5403,994.824596,64.085218,300.204778,2261.3046,559.387436,78.50782,190.783355,1888.188,0.967877145,100.0,0,CD69-
3399,628.3495363,79.44270447,250.2375928,2087.577082,363.4175715,84.52679923,122.168931,1681.997497,1.00621492,382.0,0,CD69-
7344,1137.483923,60.778625,355.8732,2356.384,817.446204,73.526065,278.65085,2357.5475,1.102212039,20.0,0,CD69-
911,624.9276817,78.82307999,246.2385065,2051.498769,344.5661033,86.15347613,88.39127421,1995.948557,0.997918352,197.0,0,CD69-
3478,577.4397579,82.59840601,274.4684897,2040.810507,291.6507305,90.00898995,99.3110795,2025.464639,1.079140071,1136.0,1,CD69+
697,635.7392133,78.93026826,238.9496539,2131.076633,320.6719312,83.16669413,78.88919083,1661.226406,0.956084707,208.0,0,CD69-
2386,572.1776079,80.83130836,235.9590521,2003.381886,326.7128939,87.927155,94.72180627,2022.998184,0.986386993,213.0,0,CD69-
4562,466.5002485,82.74118587,131.440868,2078.381423,92.59845942,96.55278084,22.35967289,2079.557262,0.841856718,174.0,0,CD69-
5115,732.371115,73.63660087,318.3441304,1903.124,419.1009578,83.63704087,131.6644096,1884.839304,1.05911499,115.0,1,CD69+
363,594.4920572,79.5099711,237.1308507,1993.252573,308.226879,89.18480257,87.79207212,2131.998603,1.013422871,186.0,0,CD69-
1842,676.7939545,77.70382097,261.3433264,2128.985885,319.1924444,88.81682794,83.01505268,2204.354564,0.908587035,255.0,0,CD69-
1153,534.1862058,82.82882559,218.5637806,2067.367333,230.1178082,91.67615057,58.65384377,2128.150195,0.870421277,359.0,1,CD69+
5440,1006.68517,63.783048,339.6050128,2195.27776,663.6841436,77.878548,213.3400744,2240.99248,1.040938252,125.0,0,CD69-
1360,766.2072192,81.74028122,287.1908016,3098.869202,202.0600337,92.77245265,69.4891914,1961.700077,1.071334237,246.0,1,CD69+
7129,1139.479661,57.51496667,279.3365833,2304.479583,696.6743672,77.07155833,200.4822917,2400.72375,1.125140025,24.0,0,CD69-
3806,703.8920138,76.85352693,344.5255467,1926.650941,462.6601436,82.55085886,166.9335864,1821.559663,1.237081318,165.0,0,CD69-
6165,1000.693095,60.20889184,266.7923612,2123.416122,582.4790218,76.59677041,196.1944286,1836.018367,1.003117821,98.0,0,CD69-
3142,702.1798195,77.10464039,257.4088621,2213.243963,445.2533864,84.11068584,141.0724199,2064.543424,0.97728948,161.0,0,CD69-
7433,1248.245345,56.63881304,248.7075652,2553.098261,963.536722,69.89657391,311.7628087,2495.318696,1.035238372,23.0,0,CD69-
7664,877.5732191,76.04259655,415.1000345,2354.623793,759.6213226,75.86474138,345.5081724,2105.471034,1.363867832,29.0,1,CD69+
