,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Cell_Size_Pix,activation_label,Activation
1562,1314.270513,51.5975133,329.4668745,2396.757287,1050.337888,69.23715957,320.8105213,2722.614734,0.886423982,188,0,CD69-
1376,1017.668116,70.09968745,371.5782678,2597.273808,810.8636605,67.37216318,258.2251774,2038.756234,1.094716447,239,1,CD69+
524,1059.758524,66.90622824,378.0238824,2477.396118,540.3928112,78.74734824,153.1692941,1976.207412,1.0176536,85,1,CD69+
1688,1106.350559,58.31269859,286.1647418,2260.837042,976.5456109,69.16357653,323.2719906,2447.764695,0.863066631,213,0,CD69-
1188,965.6346677,61.81686437,307.1000345,2060.111609,560.3664746,80.16608851,197.6085402,2026.389655,0.952854755,87,0,CD69-
1666,1182.406731,64.5954202,404.4100202,2631.813165,1229.899338,65.69454209,388.7255859,2893.092189,1.04794455,297,0,CD69-
1057,895.1104017,66.87125826,332.3905235,2043.447913,524.7070578,76.1581687,168.4505026,1680.261565,1.012479542,115,0,CD69-
1425,1017.973533,68.13965507,355.9883623,2465.767923,743.4047331,75.15516618,262.1047971,2272.5657,1.071651544,207,1,CD69+
567,968.2982929,69.28961068,375.0679126,2329.24466,507.4021698,80.07375243,161.6025922,1891.859029,0.986060854,103,0,CD69-
1115,1010.356069,64.9231,411.6263704,2128.10963,515.0252432,76.35564074,156.3348148,1689.232593,1.061562574,27,0,CD69-
570,1104.784002,56.37551075,290.2238925,2169.868172,690.8231157,74.67891935,215.4324946,2095.284624,0.96729089,93,0,CD69-
668,974.2527706,65.80233596,343.665191,2210.531461,536.3853557,79.1277382,176.6538539,1907.583258,1.004268624,89,0,CD69-
672,1006.599929,61.10018352,302.3212066,2139.069121,648.0985742,76.50772747,209.4236593,2086.947473,1.020471805,91,0,CD69-
548,736.15352,74.84638455,344.3753609,1883.175091,621.1830253,77.70921545,214.1822,2040.270273,1.069655461,110,1,CD69+
796,819.0055832,69.87178557,372.7755464,1850.933918,480.386745,81.74586186,161.4947835,1910.979691,1.037626018,97,0,CD69-
494,802.3197145,73.57997222,361.7317444,2037.204333,426.2507686,81.95077,134.4728344,1776.174222,1.065486185,90,1,CD69+
1433,679.2883141,86.0279,381.925,2510.19,936.4604169,80.7684,403.282,3175.69,1.145742826,1,1,CD69+
431,915.5593494,67.41504242,302.9127273,2187.288485,434.5419897,83.99507273,151.2705596,1952.914848,1.04960614,99,1,CD69+
960,920.8927192,63.53703153,228.2463595,2144.594865,544.2992418,78.7609018,175.0870541,1908.286306,0.921256357,111,0,CD69-
1029,845.1175081,66.66527684,288.2923705,1970.998211,448.1376627,80.11960105,165.1532632,1591.900737,0.998078364,95,0,CD69-
