NADH,NADH_t1,NADH_t2,NADH_a1,FAD_t1,FAD_t2,FAD_a1,Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,Group,Donor,Experiment_Date,Activation,Cell_Type
NA,249.55877,2075.838347,81.02596649,103.628183,2077.65237,86.93526118,0.99153103,596.2745414,359.8755483,217,NA,G,171007,CD69-,T-cells
NA,271.6304316,2032.469017,78.43720293,143.9179282,1919.710013,88.58785766,1.060302536,649.1136167,348.0322429,213,NA,G,171007,CD69-,T-cells
NA,254.6024206,2049.56914,79.92312171,67.78415592,2122.392114,90.12364522,1.039964488,612.649505,269.3520573,178,NA,G,171007,CD69-,T-cells
NA,240.0040191,1987.632099,80.14681276,109.6067243,1967.675655,86.0009558,0.946637972,586.2587144,368.297261,184,NA,G,171007,CD69-,T-cells
NA,260.0592751,2110.710861,79.0104871,71.37095891,2171.249132,90.70698713,1.007207241,647.4587084,267.994607,173,NA,G,171007,CD69-,T-cells
NA,212.8170546,1962.079468,81.98384094,60.40077623,2176.577592,92.24100169,0.935741909,524.3783291,224.5584303,125,NA,G,171007,CD69-,T-cells
NA,247.5355457,2013.746118,80.08245213,97.3965705,2023.956773,88.30211431,1.009142645,598.9864245,320.5303966,213,NA,G,171007,CD69-,T-cells
NA,248.5131913,2145.848499,78.97665259,109.0591566,1921.689541,87.10093724,1.041896755,643.449837,352.3593508,225,NA,G,171007,CD69-,T-cells
NA,240.967755,2024.352878,78.19611352,86.20344117,2092.011574,88.34812434,0.973218584,629.7105867,321.7506667,207,NA,G,171007,CD69-,T-cells
NA,244.9731004,2128.907052,76.87202669,75.98293793,2151.574063,89.96487436,0.933197058,682.0620258,282.4711488,213,NA,G,171007,CD69-,T-cells
NA,257.6462592,2024.977905,79.67963689,96.03143374,2020.345721,85.35620776,0.994244097,617.0825283,374.6604114,190,NA,G,171007,CD69-,T-cells
NA,243.0037434,2054.631864,78.95783864,105.7494453,1806.591135,87.5100592,0.958482271,618.5639776,314.5223185,166,NA,G,171007,CD69-,T-cells
NA,161.6585007,1852.696696,89.31236521,58.15463384,1839.493368,94.06743368,0.827750481,344.8320618,164.2524668,41,NA,G,171007,CD69-,T-cells
NA,241.5580684,2054.55265,82.26169268,79.48352608,2050.933333,89.72470638,0.888568891,561.5702237,280.7285824,231,NA,G,171007,CD69-,T-cells
NA,235.0849701,1960.631111,81.86880004,71.2506414,1482.248283,95.4129031,1.046113,550.7373512,140.8834576,237,NA,G,171007,CD69-,T-cells
NA,230.4349919,2106.297458,81.10294094,69.50735564,1797.263815,91.39915235,0.980973615,581.0275965,216.9726301,205,NA,G,171007,CD69-,T-cells
NA,250.5461788,2026.203338,76.8059397,100.2302301,1805.656252,86.33695551,0.945479969,665.4312071,328.7122466,160,NA,G,171007,CD69-,T-cells
NA,265.40234,2157.389174,78.50285147,123.6031187,1942.502099,85.40752251,1.098427549,673.1975548,383.7780385,181,NA,G,171007,CD69-,T-cells
NA,260.9180085,2091.928925,80.14800405,73.92212648,2132.011664,89.23464012,1.03183744,622.0896077,294.0002625,188,NA,G,171007,CD69-,T-cells
NA,270.5788681,2007.995411,80.09595446,116.5169002,2195.977491,84.41295153,1.052960101,616.5002371,436.079085,190,NA,G,171007,CD69-,T-cells
NA,216.1519753,2005.800435,82.71249318,90.23763621,1645.219072,86.86501673,0.888358131,528.7182848,283.7044445,198,NA,G,171007,CD69-,T-cells
NA,257.867869,2043.603769,83.08176192,75.80006313,1723.999969,93.92646217,1.062965128,556.0694327,174.9478607,177,NA,G,171007,CD69-,T-cells
