Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,NADH_a1,NADH_t1,NADH_t2,FAD_a1,FAD_t1,FAD_t2,Activation,Donor,Cell_Type
1.047658726,613.8586589,205.9183985,133,78.67216215,243.372709,1985.887685,92.37108943,89.9266463,1723.560482,0,7,3
0.988468845,661.4664293,296.9334666,165,77.49352602,247.2272799,2091.257528,89.51765537,87.88065555,2044.941156,0,7,3
0.998559934,621.5374262,225.0765948,55,79.03400421,234.3345279,2091.811448,92.58144215,67.05655616,2201.660723,0,7,3
0.991913594,594.5086789,254.4400149,160,79.99064672,230.7591554,2055.158119,86.36240548,64.72550809,1624.540521,0,7,3
1.026619355,624.159625,240.6988864,197,79.59111696,249.0676711,2101.907755,91.32195508,62.41032226,2116.461846,0,7,3
0.773642287,264.9409222,148.5130632,374,59.5179535,111.3576034,1342.784686,73.9744988,56.30692453,1356.067578,0,7,3
1.005155557,613.8770425,114.0934099,193,80.5250143,262.9949205,2068.141352,87.08307903,55.09120705,1275.216103,0,7,3
1.033434877,576.9803944,251.0895284,167,80.84281299,242.2159341,2006.46598,91.9657987,79.7479833,2173.615011,0,7,3
1.027451564,600.4832315,279.0347959,183,81.20783795,265.3771186,2066.452552,90.54846314,74.80022381,2224.23065,0,7,3
1.018537857,627.0754463,244.4050144,206,80.0338067,255.1315919,2125.581849,91.47156225,73.03884025,2102.168295,0,7,3
0.98132532,597.4899085,323.7348595,177,80.45888474,246.006619,2059.093926,88.49098851,113.9811756,1960.07308,0,7,3
0.965641336,683.0078042,279.2003682,196,77.35758353,250.2697808,2165.478196,89.44546061,102.206759,1765.717529,0,7,3
1.026756906,606.9387473,338.9422064,183,78.99315232,255.621223,1933.974017,88.102742,92.18977425,2138.353451,0,7,3
0.94260303,544.4841528,185.0173381,165,82.26234589,224.1809201,2046.013796,93.91877036,59.88096809,2026.25887,0,7,3
1.005753339,553.6189319,159.7734556,214,81.45325379,230.2247173,1978.585518,93.82734656,77.01359398,1379.571451,0,7,3
1.034260768,678.1777435,309.9166265,184,76.64727101,250.8820202,2091.730663,89.41309541,91.91750559,2140.046988,0,7,3
1.014233195,597.0977068,200.1585098,180,79.91505695,239.0302255,2022.337095,93.22071457,66.43349991,2006.012766,0,7,3
1.058029068,612.9410894,278.0928555,171,79.21480483,248.5319922,2010.973427,88.70694351,113.4260712,1571.61375,0,7,3
1.054931586,632.0727492,442.9250211,205,80.4010438,278.6968987,2090.425182,83.01401875,136.5285213,1945.874884,0,7,3
1.006479404,647.872914,315.3141843,225,78.87404291,258.2354536,2107.605836,89.54664087,93.56898758,2128.898789,0,7,3
1.023184269,723.3789856,327.2209516,255,75.89668194,262.7836475,2168.518677,87.62326376,97.941731,2017.188629,0,7,3
0.980862911,564.6877669,286.192371,187,82.30220206,244.1543747,2065.545419,90.31892382,80.25823841,2204.884404,0,7,3
1.034537827,660.2976561,257.1506816,198,78.66391716,269.9837017,2106.146873,90.68736842,65.97905417,2107.614469,0,7,3
0.938619653,668.8392232,279.6827774,57,77.87671693,269.8071639,2102.648743,89.98766677,71.73938338,2155.700394,0,7,3
1.085802005,680.9839219,290.6447372,212,78.38976074,275.6191329,2159.461618,88.40289148,107.2813044,1693.75292,0,7,3
1.003948427,681.5755763,357.362394,156,76.74112643,261.2802002,2074.89686,86.33024001,96.75604573,2029.133569,0,7,3
0.899684369,674.8547436,283.5430692,201,78.39229297,271.1386793,2148.380545,89.15349171,75.97101348,2013.259768,0,7,3
1.101320168,640.6665532,637.3668213,162,78.22885317,260.2080863,2014.495569,79.11519623,229.5939941,2182.080078,0,7,3
1.080932875,642.4204077,252.1814409,180,78.71439518,265.7279993,2028.916253,90.54923595,64.12983652,2041.701821,0,7,3
1.003412885,545.9782996,232.0013101,136,82.55965564,240.8675264,2017.04763,91.34420613,67.89165633,1966.637137,0,7,3
1.050090633,630.6638482,353.2743621,170,79.72390377,273.5034545,2035.333038,87.0461276,95.51499346,2097.148434,0,7,3
0.995189459,636.758438,311.6427495,206,78.78240518,257.4071761,2044.91359,87.85027076,80.28101582,2061.390381,0,7,3
1.021636501,576.4482351,274.9275256,172,81.43685982,255.5484146,1988.201955,90.4753687,71.4290658,2206.794238,0,7,3
1.034352655,648.888472,228.2479773,186,76.7233009,217.9416514,2077.791776,91.62530807,63.22971611,2040.282004,0,7,3
1.035036769,592.7709292,263.2756373,203,79.95100398,244.1725702,1993.742054,91.11675934,87.58203694,2025.474901,0,7,3
0.99153103,596.2745414,359.8755483,217,81.02596649,249.55877,2075.838347,86.93526118,103.628183,2077.65237,0,7,3
1.060302536,649.1136167,348.0322429,213,78.43720293,271.6304316,2032.469017,88.58785766,143.9179282,1919.710013,0,7,3
1.039964488,612.649505,269.3520573,178,79.92312171,254.6024206,2049.56914,90.12364522,67.78415592,2122.392114,0,7,3
0.946637972,586.2587144,368.297261,184,80.14681276,240.0040191,1987.632099,86.0009558,109.6067243,1967.675655,0,7,3
1.007207241,647.4587084,267.994607,173,79.0104871,260.0592751,2110.710861,90.70698713,71.37095891,2171.249132,0,7,3
0.935741909,524.3783291,224.5584303,125,81.98384094,212.8170546,1962.079468,92.24100169,60.40077623,2176.577592,0,7,3
1.009142645,598.9864245,320.5303966,213,80.08245213,247.5355457,2013.746118,88.30211431,97.3965705,2023.956773,0,7,3
1.041896755,643.449837,352.3593508,225,78.97665259,248.5131913,2145.848499,87.10093724,109.0591566,1921.689541,0,7,3
0.973218584,629.7105867,321.7506667,207,78.19611352,240.967755,2024.352878,88.34812434,86.20344117,2092.011574,0,7,3
0.933197058,682.0620258,282.4711488,213,76.87202669,244.9731004,2128.907052,89.96487436,75.98293793,2151.574063,0,7,3
0.994244097,617.0825283,374.6604114,190,79.67963689,257.6462592,2024.977905,85.35620776,96.03143374,2020.345721,0,7,3
0.958482271,618.5639776,314.5223185,166,78.95783864,243.0037434,2054.631864,87.5100592,105.7494453,1806.591135,0,7,3
0.827750481,344.8320618,164.2524668,41,89.31236521,161.6585007,1852.696696,94.06743368,58.15463384,1839.493368,0,7,3
0.888568891,561.5702237,280.7285824,231,82.26169268,241.5580684,2054.55265,89.72470638,79.48352608,2050.933333,0,7,3
1.046113,550.7373512,140.8834576,237,81.86880004,235.0849701,1960.631111,95.4129031,71.2506414,1482.248283,0,7,3
0.980973615,581.0275965,216.9726301,205,81.10294094,230.4349919,2106.297458,91.39915235,69.50735564,1797.263815,0,7,3
0.945479969,665.4312071,328.7122466,160,76.8059397,250.5461788,2026.203338,86.33695551,100.2302301,1805.656252,0,7,3
1.098427549,673.1975548,383.7780385,181,78.50285147,265.40234,2157.389174,85.40752251,123.6031187,1942.502099,0,7,3
1.03183744,622.0896077,294.0002625,188,80.14800405,260.9180085,2091.928925,89.23464012,73.92212648,2132.011664,0,7,3
1.052960101,616.5002371,436.079085,190,80.09595446,270.5788681,2007.995411,84.41295153,116.5169002,2195.977491,0,7,3
0.888358131,528.7182848,283.7044445,198,82.71249318,216.1519753,2005.800435,86.86501673,90.23763621,1645.219072,0,7,3
1.062965128,556.0694327,174.9478607,177,83.08176192,257.867869,2043.603769,93.92646217,75.80006313,1723.999969,0,7,3
1.069685059,639.8516261,395.9734427,201,79.61916692,269.9079684,2087.165866,84.31876153,107.9360483,1999.31347,0,7,3
1.002776708,607.4900222,234.774226,173,80.46792153,256.6877951,2059.331779,91.21045151,81.07563252,1846.259877,0,7,3
1.030965477,635.1703158,398.1310301,169,78.59071957,244.531459,2070.482975,85.94327075,122.094294,2102.691988,0,7,3
1.084766708,649.2735159,414.2596459,224,80.02658076,266.3467171,2189.618601,86.1631769,139.0998459,2123.923077,0,7,3
1.070849856,619.1358908,280.6033122,166,80.50297913,266.3009213,2084.771702,90.10702828,119.5082104,1739.436915,0,7,3
0.992583026,636.8071185,327.7982095,220,78.25282494,250.1987229,2036.583711,86.98436953,101.2117467,1820.196187,0,7,3
1.014712196,541.8588749,372.5013865,211,82.38468751,259.50219,1854.279021,86.16274817,112.0819167,2004.030699,0,7,3
1.056744909,630.1083592,288.7041517,190,78.11688061,243.3966732,2016.382787,89.12722726,77.14770388,2020.113838,0,7,3
1.056527219,627.5098667,321.0029107,109,79.40611928,251.9451349,2086.484916,87.03395081,130.9091085,1610.293246,0,7,3
1.04995915,632.09962,344.4203406,116,78.38842674,254.4731438,2003.409558,87.24940067,90.18674808,2090.535938,0,7,3
