Norm_RR,NADH_tm,FAD_tm,NADH_a1,NADH_t1,NADH_t2,FAD_a1,FAD_t1,FAD_t2,Activation,Donor
1.047658726,613.8586589,205.9183985,78.67216215,243.372709,1985.887685,92.37108943,89.9266463,1723.560482,0,7
0.988468845,661.4664293,296.9334666,77.49352602,247.2272799,2091.257528,89.51765537,87.88065555,2044.941156,0,7
0.998559934,621.5374262,225.0765948,79.03400421,234.3345279,2091.811448,92.58144215,67.05655616,2201.660723,0,7
0.991913594,594.5086789,254.4400149,79.99064672,230.7591554,2055.158119,86.36240548,64.72550809,1624.540521,0,7
1.026619355,624.159625,240.6988864,79.59111696,249.0676711,2101.907755,91.32195508,62.41032226,2116.461846,0,7
0.773642287,264.9409222,148.5130632,59.5179535,111.3576034,1342.784686,73.9744988,56.30692453,1356.067578,0,7
1.005155557,613.8770425,114.0934099,80.5250143,262.9949205,2068.141352,87.08307903,55.09120705,1275.216103,0,7
1.033434877,576.9803944,251.0895284,80.84281299,242.2159341,2006.46598,91.9657987,79.7479833,2173.615011,0,7
1.027451564,600.4832315,279.0347959,81.20783795,265.3771186,2066.452552,90.54846314,74.80022381,2224.23065,0,7
1.018537857,627.0754463,244.4050144,80.0338067,255.1315919,2125.581849,91.47156225,73.03884025,2102.168295,0,7
0.98132532,597.4899085,323.7348595,80.45888474,246.006619,2059.093926,88.49098851,113.9811756,1960.07308,0,7
0.965641336,683.0078042,279.2003682,77.35758353,250.2697808,2165.478196,89.44546061,102.206759,1765.717529,0,7
1.026756906,606.9387473,338.9422064,78.99315232,255.621223,1933.974017,88.102742,92.18977425,2138.353451,0,7
0.94260303,544.4841528,185.0173381,82.26234589,224.1809201,2046.013796,93.91877036,59.88096809,2026.25887,0,7
1.005753339,553.6189319,159.7734556,81.45325379,230.2247173,1978.585518,93.82734656,77.01359398,1379.571451,0,7
1.034260768,678.1777435,309.9166265,76.64727101,250.8820202,2091.730663,89.41309541,91.91750559,2140.046988,0,7
1.014233195,597.0977068,200.1585098,79.91505695,239.0302255,2022.337095,93.22071457,66.43349991,2006.012766,0,7
1.058029068,612.9410894,278.0928555,79.21480483,248.5319922,2010.973427,88.70694351,113.4260712,1571.61375,0,7
1.054931586,632.0727492,442.9250211,80.4010438,278.6968987,2090.425182,83.01401875,136.5285213,1945.874884,0,7
1.006479404,647.872914,315.3141843,78.87404291,258.2354536,2107.605836,89.54664087,93.56898758,2128.898789,0,7
1.023184269,723.3789856,327.2209516,75.89668194,262.7836475,2168.518677,87.62326376,97.941731,2017.188629,0,7
0.980862911,564.6877669,286.192371,82.30220206,244.1543747,2065.545419,90.31892382,80.25823841,2204.884404,0,7
1.034537827,660.2976561,257.1506816,78.66391716,269.9837017,2106.146873,90.68736842,65.97905417,2107.614469,0,7
0.938619653,668.8392232,279.6827774,77.87671693,269.8071639,2102.648743,89.98766677,71.73938338,2155.700394,0,7
1.085802005,680.9839219,290.6447372,78.38976074,275.6191329,2159.461618,88.40289148,107.2813044,1693.75292,0,7
1.003948427,681.5755763,357.362394,76.74112643,261.2802002,2074.89686,86.33024001,96.75604573,2029.133569,0,7
0.899684369,674.8547436,283.5430692,78.39229297,271.1386793,2148.380545,89.15349171,75.97101348,2013.259768,0,7
1.101320168,640.6665532,637.3668213,78.22885317,260.2080863,2014.495569,79.11519623,229.5939941,2182.080078,0,7
1.080932875,642.4204077,252.1814409,78.71439518,265.7279993,2028.916253,90.54923595,64.12983652,2041.701821,0,7
1.003412885,545.9782996,232.0013101,82.55965564,240.8675264,2017.04763,91.34420613,67.89165633,1966.637137,0,7
1.050090633,630.6638482,353.2743621,79.72390377,273.5034545,2035.333038,87.0461276,95.51499346,2097.148434,0,7
0.995189459,636.758438,311.6427495,78.78240518,257.4071761,2044.91359,87.85027076,80.28101582,2061.390381,0,7
1.021636501,576.4482351,274.9275256,81.43685982,255.5484146,1988.201955,90.4753687,71.4290658,2206.794238,0,7
1.034352655,648.888472,228.2479773,76.7233009,217.9416514,2077.791776,91.62530807,63.22971611,2040.282004,0,7
1.035036769,592.7709292,263.2756373,79.95100398,244.1725702,1993.742054,91.11675934,87.58203694,2025.474901,0,7
0.99153103,596.2745414,359.8755483,81.02596649,249.55877,2075.838347,86.93526118,103.628183,2077.65237,0,7
1.060302536,649.1136167,348.0322429,78.43720293,271.6304316,2032.469017,88.58785766,143.9179282,1919.710013,0,7
1.039964488,612.649505,269.3520573,79.92312171,254.6024206,2049.56914,90.12364522,67.78415592,2122.392114,0,7
0.946637972,586.2587144,368.297261,80.14681276,240.0040191,1987.632099,86.0009558,109.6067243,1967.675655,0,7
1.007207241,647.4587084,267.994607,79.0104871,260.0592751,2110.710861,90.70698713,71.37095891,2171.249132,0,7
0.935741909,524.3783291,224.5584303,81.98384094,212.8170546,1962.079468,92.24100169,60.40077623,2176.577592,0,7
1.009142645,598.9864245,320.5303966,80.08245213,247.5355457,2013.746118,88.30211431,97.3965705,2023.956773,0,7
1.041896755,643.449837,352.3593508,78.97665259,248.5131913,2145.848499,87.10093724,109.0591566,1921.689541,0,7
0.973218584,629.7105867,321.7506667,78.19611352,240.967755,2024.352878,88.34812434,86.20344117,2092.011574,0,7
0.933197058,682.0620258,282.4711488,76.87202669,244.9731004,2128.907052,89.96487436,75.98293793,2151.574063,0,7
0.994244097,617.0825283,374.6604114,79.67963689,257.6462592,2024.977905,85.35620776,96.03143374,2020.345721,0,7
