labels,data
NADH_a1,18.95215543
FAD_t1,17.71405702
NADH_t1,11.63157207
FAD_tm,11.46366219
NADH_tm,11.45872456
Norm_RR,9.623435331
FAD_a1,8.459839494
NADH_t2,6.748476334
FAD_t2,3.948077575
