labels,data
All variables ,0.990817264
Top 4 variables,0.97107438
Top 3 variables,0.969237833
NADH variables,0.955463728
Top 2 variables,0.946740129
Top variable,0.88292011
NADH_a1,0.804407713
Redox Ratio,0.543158861
