labels,data
All,0.977621483
Top 4 variables,0.964194373
Top 3 variables,0.928388747
Top 2 variables,0.906649616
NAD(P)H variables,0.898976982
Top variable,0.85741688
NADH_a1,0.640025575
Norm_RR,0.563299233
