cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,NADH,FAD,Group,Donor,Experiment_Date,Activation,Cell_Type
69,396.8446602,383.2070971,2440.747184,66.95961359,1.049098738,26.95145631,282.1609417,2316.361456,76.02320583,23.97679417,1.027304951,0.933131656,1064.545384,762.8575412,102.4256552,35.62356461,170.0173339,3.616449954,0.100664433,12.37674816,151.9572944,459.3517625,3.530492518,3.530492518,0.12653147,0.033987855,114.7555484,184.5713412,103,a_4n,a_4f,Activated,N,221114,CD69+,NK-Cells
32,836.6407767,397.1161359,2403.513592,69.05373495,1.064385184,62.52427184,294.4688835,2168.329126,72.25036796,27.74963204,1.044316767,0.927129839,1018.193935,809.5892046,317.9291404,36.36053568,110.339591,3.286359218,0.113468057,41.75297211,85.83519807,284.7260035,2.845768251,2.845768251,0.096887337,0.047593693,78.7524156,102.8185915,103,c_2n,c_2f,Control,N,221114,CD69-,NK-Cells
173,812,410.5633883,2412.135437,65.09145922,1.038463155,64.23300971,316.5156214,2499.679029,74.86879029,25.13120971,1.042119515,0.930157606,1109.461032,857.5535363,237.6297994,39.31040652,100.964282,3.513065091,0.10385224,40.84000439,56.41000764,307.8381516,3.465231312,3.465231312,0.088607998,0.030899931,81.43641958,87.97394382,103,c_3n,c_3f,Control,N,221114,CD69-,NK-Cells
148,811.5145631,374.7141845,2426.403689,62.73524272,1.058063981,60.46601942,270.337165,2162.962136,73.38065631,26.61934369,1.03513268,0.933355061,1141.492636,772.1885294,186.8187159,30.09382023,119.3106821,4.513982217,0.119192201,63.21032671,46.59068044,190.7085956,2.57972866,2.57972866,0.107339219,0.05658229,123.2170982,81.32587206,103,c_4n,c_4f,Control,N,221114,CD69-,NK-Cells
31,804.2718447,370.8818932,2426.342233,66.68776117,1.10089867,62.34951456,303.6415728,2189.007184,75.67404563,24.32595437,1.029694971,0.917377186,1056.431373,759.3476051,289.0071644,31.78276853,73.75964697,4.053105024,0.086225136,45.97478182,67.59564099,271.0819407,2.55699488,2.55699488,0.129259184,0.066173575,90.59645593,111.3636629,103,c_5n,c_5f,Control,N,221114,CD69-,NK-Cells
178,272.0196078,376.163951,2193.097255,80.72506471,1.003814108,25.20588235,228.3473627,2263.405882,80.0622598,19.9377402,0.962358,0.906257768,725.6703755,632.0321494,124.7228992,27.03865005,234.5645675,3.992896994,0.09207814,11.50405717,86.73620393,252.4974084,4.116785111,4.116785111,0.10866644,0.04835722,86.8409194,118.6744641,102,NK_act_5n-014,NK_act_5f-015,Activated,D,220303,CD69+,NK-Cells
77,995.5294118,426.6603431,2458.65598,66.73879412,1.119206382,99.2254902,278.5606471,2401.665882,74.16990392,25.83009608,1.028207235,0.911120947,1102.849369,822.5928375,231.9404031,52.73310516,62.75554615,2.02308364,0.106507843,56.31504501,29.99017441,234.8532441,2.956037431,2.956037431,0.110504107,0.048536203,47.08251939,67.5820127,102,a_2n,a_2f,Activated,M,221101,CD69+,NK-Cells
60,901.2843137,312.7097843,2494.273431,62.48053922,1.143120902,64.84313725,251.6860294,2253.564412,74.55305588,25.44694412,0.973560598,0.932381063,1165.431833,755.2408632,165.4043577,130.1089539,347.0396393,17.1102947,0.214684274,34.34355982,47.91809862,228.6021724,4.751800609,4.751800609,0.084112647,0.033411375,538.3820689,112.2619653,102,a_3n,a_3f,Activated,M,221101,CD69+,NK-Cells
125,569.6666667,377.5338529,2443.742745,64.80105588,1.018581324,64.37254902,265.6555196,2218.815294,76.84143039,23.15856961,1.01779251,0.892235145,1103.28044,718.2058166,177.1156323,41.24049809,143.8793444,3.326415431,0.100414282,38.7172849,46.50436203,207.3374992,3.243025147,3.243025147,0.115836048,0.064389756,82.45293239,94.50278391,102,q_2n,q_2f,Control,M,221101,CD69+,NK-Cells
2,751.4803922,367.4984706,2579.253039,60.46671275,1.022504588,82.7254902,284.2244902,2295.422451,75.11032157,24.88967843,0.994073559,0.904705403,1241.427137,781.3816604,201.3543613,60.97714784,132.8352999,2.502449749,0.100928601,47.24994774,50.7985802,234.3298932,2.279519966,2.279519966,0.101103922,0.034300585,87.45160439,69.48418747,102,q_3n,q_3f,Control,M,221101,CD69+,NK-Cells
19,598.254902,304.7988922,2381.919216,58.36079902,1.071893863,102.5882353,279.6294314,2381.909608,77.54011471,22.45988529,0.984458765,0.855007182,1168.50158,752.9635556,120.3397572,49.48477825,119.9900025,3.004861324,0.086617052,59.84953956,53.7117759,199.3077943,2.178800628,2.178800628,0.11731555,0.080493471,88.80773775,113.5559446,102,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
32,615.9607843,434.9119412,2474.643333,70.11759216,1.081260373,21.48039216,330.9065784,2604.661176,76.96489902,23.03510098,0.982245245,0.962734708,1045.502457,843.4964649,194.2424188,43.73018825,164.1437469,3.797448136,0.101191292,7.080485512,160.7106066,438.1573028,4.444017153,4.444017153,0.100502169,0.017474029,101.6075395,180.9849564,102,a_6n,a_6f,Activated,N,221114,CD69+,NK-Cells
140,624.1666667,383.8737843,2554.941176,63.9825549,1.073529137,79.92156863,288.3628627,2378.166569,75.78417941,24.21582059,1.000599706,0.885060379,1165.124404,792.8432791,99.13168393,42.60497221,122.3992514,2.09996196,0.101483984,45.23244395,34.14398045,156.7046518,1.856068832,1.856068832,0.092944315,0.065389503,76.68254386,53.60281354,102,c_2n,c_2f,Control,N,221114,CD69+,NK-Cells
155,806.5980392,398.1285098,2473.033333,66.93133235,1.070969804,71.62745098,313.3157745,2401.012157,75.89557451,24.10442549,1.055012529,0.929147499,1085.88604,810.9671448,256.2394556,55.00539905,129.8110062,4.18668418,0.105037658,75.20979523,45.02893813,302.0335589,4.010050261,4.010050261,0.092806495,0.048980226,146.4864423,103.6038871,102,c_6n,c_6f,Control,N,221114,CD69+,NK-Cells
34,758.6960784,412.8873431,2491.038431,67.6352598,1.033045882,47.34313725,266.3600392,2302.082647,77.00412843,22.99587157,0.995909216,0.938128884,1085.596795,732.7163447,198.3275014,45.33252788,118.037719,2.436613434,0.100176745,27.83170608,37.21813806,184.9264991,1.844620653,1.844620653,0.074596029,0.039385671,57.97783549,59.37918148,102,c_2n,c_2f,Control,N,221114,CD69-,NK-Cells
98,951.6862745,397.2436961,2366.067059,68.30638725,1.075420196,39.92156863,314.5326961,2338.641275,74.67915588,25.32084412,1.069783353,0.954353899,1021.880766,824.3869184,347.1255082,49.71066983,116.2126154,3.342756304,0.087674179,36.81118165,71.27822624,219.348641,3.778808323,3.778808323,0.088974418,0.0548673,88.44360141,135.8867648,102,c_5n,c_5f,Control,N,221114,CD69-,NK-Cells
27,255.029703,371.121703,2195.529109,64.56822871,1.02524201,29.57425743,240.556099,2178.50505,77.96556535,22.03443465,0.966590248,0.866950169,1014.400474,663.9076754,174.9701949,53.85825099,156.0191954,3.288679698,0.093282778,15.76727404,56.41200538,198.6214545,3.298287772,3.298287772,0.111216506,0.085815811,48.61913021,91.1277758,101,NK_unact_4n-029,NK_unact_4f-030,Control,D,220303,CD69-,NK-Cells
126,1120.60396,434.1385248,2725.719901,62.23023168,1.06992099,48.74257426,291.0235545,2269.504257,73.45741485,26.54258515,0.993148832,0.957444051,1299.681839,807.3654019,196.8352651,23.88095816,91.37796313,3.355381011,0.108389547,25.78978614,51.57948897,289.7230318,4.290328978,4.290328978,0.090418075,0.022526374,84.23945114,81.7551017,101,a_3n,a_3f,Activated,M,221101,CD69+,NK-Cells
50,605.7623762,423.2378614,2329.56703,71.55813069,1.113795792,26.61386139,264.550099,2514.554752,79.01982871,20.98017129,1.005344287,0.957423326,965.0255068,729.7780248,128.0817824,32.35133746,88.06751164,2.738192132,0.122183732,8.617389741,43.07721635,328.3261595,2.702119565,2.702119565,0.101195701,0.013522421,60.93006543,69.74370405,101,a_1n,a_1f,Activated,N,221114,CD69+,NK-Cells
7,555.3168317,418.4497921,2463.713366,71.18020693,1.08606097,24.51485149,240.4889505,2021.332277,77.33560297,22.66439703,1.040373228,0.953323658,1009.377887,638.8752065,187.3504166,40.95696889,148.2834711,3.185459931,0.11367966,9.909201644,121.1776683,310.5753069,3.739388527,3.739388527,0.120175789,0.025919186,100.5551172,123.850929,101,a_3n,a_3f,Activated,N,221114,CD69+,NK-Cells
63,382.6534653,445.0224158,2705.707228,51.05339208,1.062794366,51.55445545,255.788703,2133.36901,75.72952475,24.27047525,1.038512158,0.890398616,1550.394883,708.4580552,41.44742106,67.40806714,141.0002437,2.873932623,0.099680324,54.53613027,81.73567148,203.3855348,4.573656941,4.573656941,0.077418584,0.093913339,101.3936465,104.5650937,101,a_2n,a_2f,Activated,N,221114,CD69-,NK-Cells
57,679.1683168,409.0633465,2487.8,65.28760594,1.065148792,62.3960396,274.014198,2309.438119,73.8771198,26.1228802,1.048445891,0.913836528,1130.076871,798.9023037,178.9123847,30.25955768,102.3980166,3.108157523,0.118419107,25.87666099,51.14595546,305.3695968,3.440758804,3.440758804,0.10230655,0.034673065,65.40795814,79.22289476,101,c_6n,c_6f,Control,N,221114,CD69-,NK-Cells
76,415.47,380.90217,2329.3216,72.951193,1.05815632,28.7,229.10205,2073.8904,80.854459,19.145541,0.93242203,0.928898214,908.3926267,576.2482266,173.7156887,33.94814986,118.6360064,3.416288518,0.100823074,13.02406475,67.89425703,308.3246727,3.771724971,3.771724971,0.092294208,0.035649719,87.02692057,104.3624422,100,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
