NADH_t1,NADH_t2,NADH_a1,FAD_t1,FAD_t2,FAD_a1,Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,Donor,Activation,Cell_Type,cell_index,n.p.mean,n.chi.mean,f.p.mean,f.a2.mean,f.chi.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,celltype,FAD,Type_Activation,Donor_Activation,Donor_CellType
243.372709,1985.887685,78.67216215,89.9266463,1723.560482,92.37108943,1.047658726,613.8586589,205.9183985,133.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
247.2272799,2091.257528,77.49352602,87.88065555,2044.941156,89.51765537,0.988468845,661.4664293,296.9334666,165.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
234.3345279,2091.811448,79.03400421,67.05655616,2201.660723,92.58144215,0.998559934,621.5374262,225.0765948,55.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
230.7591554,2055.158119,79.99064672,64.72550809,1624.540521,86.36240548,0.991913594,594.5086789,254.4400149,160.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
249.0676711,2101.907755,79.59111696,62.41032226,2116.461846,91.32195508,1.026619355,624.159625,240.6988864,197.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
111.3576034,1342.784686,59.5179535,56.30692453,1356.067578,73.9744988,0.773642287,264.9409222,148.5130632,374.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
262.9949205,2068.141352,80.5250143,55.09120705,1275.216103,87.08307903,1.005155557,613.8770425,114.0934099,193.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
242.2159341,2006.46598,80.84281299,79.7479833,2173.615011,91.9657987,1.033434877,576.9803944,251.0895284,167.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
265.3771186,2066.452552,81.20783795,74.80022381,2224.23065,90.54846314,1.027451564,600.4832315,279.0347959,183.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
255.1315919,2125.581849,80.0338067,73.03884025,2102.168295,91.47156225,1.018537857,627.0754463,244.4050144,206.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
246.006619,2059.093926,80.45888474,113.9811756,1960.07308,88.49098851,0.98132532,597.4899085,323.7348595,177.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
250.2697808,2165.478196,77.35758353,102.206759,1765.717529,89.44546061,0.965641336,683.0078042,279.2003682,196.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
255.621223,1933.974017,78.99315232,92.18977425,2138.353451,88.102742,1.026756906,606.9387473,338.9422064,183.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
224.1809201,2046.013796,82.26234589,59.88096809,2026.25887,93.91877036,0.94260303,544.4841528,185.0173381,165.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
230.2247173,1978.585518,81.45325379,77.01359398,1379.571451,93.82734656,1.005753339,553.6189319,159.7734556,214.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
250.8820202,2091.730663,76.64727101,91.91750559,2140.046988,89.41309541,1.034260768,678.1777435,309.9166265,184.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
239.0302255,2022.337095,79.91505695,66.43349991,2006.012766,93.22071457,1.014233195,597.0977068,200.1585098,180.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
248.5319922,2010.973427,79.21480483,113.4260712,1571.61375,88.70694351,1.058029068,612.9410894,278.0928555,171.0,G,CD69-,T-cells,,,,,,,,,,,,,,,,,,,,,,,T-cells: CD69-,T-cells G: CD69-,G: T-cells
