,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Activation,Donor
4872,1300.093688,52.35524231,357.9160769,2336.766731,738.7593402,75.55141538,180.7588269,2469.628846,1.028163415,0,1
4873,1407.876885,43.45937273,333.4025,2238.193182,726.6298587,75.01329091,235.8700091,2193.447727,1.135675638,0,1
4874,1213.729831,56.15576598,324.3783402,2348.92299,698.8127707,76.68111134,186.4000557,2386.140619,0.950476018,0,1
4875,1067.38859,66.08706667,460.1079583,2267.102917,459.6054042,83.07956667,170.4096125,1889.483333,1.171903507,0,1
4876,1584.963467,47.51088235,441.8046471,2618.540588,827.786813,70.75931373,178.5036059,2430.396275,1.122064076,0,1
4877,1242.825315,58.4716,391.3735385,2447.793077,903.7799761,76.38382308,441.5893846,2442.506923,1.087441301,0,1
4878,1085.133405,60.23803077,312.7748462,2256.503846,705.1651247,75.33247692,184.8813846,2304.256923,1.140579827,0,1
4879,1161.201181,60.36170909,391.8641818,2335.197273,676.0781564,75.89967727,209.7925455,2155.578182,1.032143675,0,1
4880,1310.199058,49.79751818,373.6207677,2243.51202,555.0995934,81.93139697,147.6149192,2415.708889,0.981534855,0,1
4881,1329.68012,60.39133913,503.6493478,2590.601739,550.0084146,80.40226522,212.493,1964.537391,1.232654653,0,1
4882,1409.52611,52.69961373,474.5561569,2451.303333,709.7158389,78.67134706,187.0100392,2685.288039,1.021482809,0,1
4883,1151.89897,59.18293636,341.6696364,2330.272727,628.718741,81.47653636,195.1849091,2559.439091,1.148455959,0,1
4884,1479.464462,47.70330606,438.9011212,2429.639091,461.3249065,83.51767879,116.513197,2209.41,1.119426591,0,1
4885,1310.395991,55.08263182,460.1173182,2356.048182,868.8528625,70.17448636,238.0311364,2367.421818,1.099699586,0,1
4886,1525.414162,48.55881048,418.8688145,2569.414516,698.8711334,77.05178548,188.3014685,2403.97379,1.087806744,0,1
4887,989.0364235,67.05016061,317.7096061,2359.563333,887.591092,74.62645758,310.8266667,2615.481515,0.886617007,0,1
4888,1366.830673,55.48194719,448.4545618,2518.503371,612.8298637,80.15259213,185.2846225,2352.573483,0.979556325,0,1
4889,1497.758878,63.796765,736.14075,2911.664,687.3519267,76.52325,179.0804,2331.7855,0.948202513,0,1
4890,1371.730771,57.02977887,455.4280141,2609.301408,716.0525418,76.09683239,212.6885944,2325.157746,0.729520791,0,1
4891,1374.166594,60.04963333,552.0128333,2643.208333,560.5963781,77.81926667,156.0061667,2039.116667,1.116613229,0,1
4892,1407.985288,57.24689341,489.0546703,2666.675604,672.5891101,76.74277033,151.3648165,2394.41978,0.742936891,0,1
4893,1388.67205,50.26301754,381.3512632,2416.875965,654.0127455,77.07894386,174.1833596,2285.593684,0.883724877,0,1
4894,1490.433303,55.48699091,512.1437045,2746.279545,640.6715722,78.62169545,169.04335,2373.694091,0.974629773,0,1
4895,1507.880586,60.13807,687.838,2841.17625,658.4459365,78.620615,193.0000875,2394.3655,1.000725283,0,1
4896,1357.854444,51.64005844,369.359,2427.245455,590.0228762,81.64038182,190.6544805,2359.873377,0.89642797,0,1
4897,1411.35551,51.90468333,424.4286296,2483.227778,673.9290042,77.31905,197.0197611,2295.423519,0.863798506,0,1
4898,1375.976917,54.24747541,414.2319344,2540.993607,685.6694975,77.54839836,192.8121295,2403.614918,0.936813952,0,1
4899,1271.816245,55.526105,389.744175,2375.1745,691.5140859,81.10524,250.1659275,2604.7295,1.122550337,0,1
4900,1306.646477,51.39544,392.5432,2288.086,650.1290143,76.43352,154.5938,2274.578,1.002617544,0,1
4901,1288.613446,54.44806747,400.8213133,2370.36253,722.3701658,77.15617349,218.4428361,2437.699277,0.990310647,0,1
4902,1259.589707,59.75750588,439.627,2483.413529,558.5568325,82.16748235,132.8796353,2519.832941,0.984394831,0,1
4903,1287.078135,55.38708571,405.5166429,2391.843673,677.1658921,78.05676633,188.9420469,2426.287041,0.998337058,0,1
4904,1214.324521,56.1531,317.1,2367.38,1236.611253,79.8651,783.841,3032.345,1.035586866,0,1
4905,1305.076194,51.43710323,379.2623871,2289.226774,786.4938276,71.57539355,191.6717097,2303.163226,0.72138937,0,1
4906,1402.150578,54.01322667,503.5977167,2463.704833,830.5192488,76.57878167,275.44681,2653.217,0.982778012,0,1
4907,1119.844514,60.39141111,311.6412222,2352.216667,803.2250956,76.92734444,254.9275556,2680.305556,0.981638796,0,1
4908,1681.099688,57.06366364,758.3307273,2977.717273,541.7761024,82.74440909,162.0048818,2360.791818,1.023807433,0,1
4909,1238.953412,53.36245778,302.3356222,2306.804,622.5424468,78.91216,176.6965111,2286.825111,0.974168926,0,1
4910,1510.369562,64.298425,769.5445,2878.0625,592.5021983,75.0403,120.47245,2055.49,0.891043841,0,1
4911,1487.312075,51.8457814,500.8232093,2567.983721,596.8133678,78.9054093,183.5620233,2155.777907,0.959172507,0,1
4912,1309.103863,57.66159474,524.2222105,2402.083684,825.8737743,74.95477368,237.2953684,2616.118421,0.938415287,0,1
4913,1258.759669,63.0811,448.311,2645.15,429.9309714,86.60123333,97.18526667,2587.263333,1.071254771,0,1
4914,1195.562195,69.66212647,579.2595294,2621.460588,803.9458014,71.49330588,213.0458529,2349.103824,1.0011423,0,1
4915,1353.006644,60.9608,442.2156667,2777.385556,659.8211722,79.93874074,172.6645926,2600.264444,1.049288549,0,1
4916,1354.666891,57.8805375,479.4441875,2561.68125,720.9825756,78.984125,256.72875,2482.849375,0.961641037,0,1
4917,1249.667285,58.010725,456.0522917,2353.954167,779.6884114,74.55097083,258.5962917,2323.03875,1.120066997,0,1
4918,1049.880424,60.4674,270.256,2246.392,548.638196,79.82038,135.439,2194.614,0.969876161,0,1
4919,1288.381009,54.09802,312.5965333,2442.34,624.4487115,78.79045333,193.9852667,2274.046667,0.953662066,0,1
4920,1248.865718,62.607812,495.83016,2583.8548,852.2165012,79.465328,390.3956,2675.3568,0.969799806,0,1
4921,999.654784,61.019,287.741,2114.02,785.7308057,75.6114,309.5864667,2310.46,1.226569927,0,1
4922,1213.22766,57.36542923,368.6825538,2353.487385,821.6504587,71.82836615,184.6125338,2452.134923,0.745079339,0,1
4923,1418.722306,50.9015122,380.6111463,2499.558049,780.2749186,72.23904878,208.4663537,2299.746341,1.002832753,0,1
4924,1221.354807,57.76701667,420.7656667,2317.718333,760.5437743,76.52526667,290.4471667,2310.555,1.106160508,0,1
4925,1223.909714,63.1795,434.3061429,2578.7,585.5614889,80.13334286,175.9945286,2289.968571,1.193360261,0,1
4926,1265.275991,56.020525,363.9602692,2424.480577,680.1496905,74.71851923,172.29125,2184.187308,0.708420291,0,1
4927,1262.032677,53.94866,340.428625,2345.62825,739.8532028,74.21336875,181.0670313,2349.826063,0.718238283,0,1
4928,1088.38009,68.71066087,465.5285978,2450.45163,599.8733175,81.54568587,238.358337,2215.696413,1.162730923,0,1
