,0
NADH_a1,41.71642101025219
NADH_tm,23.311946073372404
FAD_t2,7.960985791580069
NADH_t1,7.6844640694164426
NADH_t2,6.364236365416444
Norm_RR,6.3505330643358935
FAD_a1,2.498601897424705
FAD_t1,2.361451544008768
FAD_tm,1.7513601841930861
