,Norm_RR,NADH_tm,FAD_tm,NADH_a1,NADH_t1,NADH_t2,FAD_a1,FAD_t1,FAD_t2,Activation,Donor,Cell_Type
0,1.032707493,1381.435967,657.9691573,52.50842969,339.1440313,2533.112188,77.38843125,165.0962266,2351.488594,0,1,0
1,1.10537945,1410.979083,535.1866535,52.45396522,405.7371304,2525.048261,81.30983043,133.2182652,2298.641304,0,1,0
2,0.737190226,1299.702237,684.3098751,52.5921073,358.5818613,2348.782701,75.08722482,167.6108861,2244.945839,0,1,0
3,1.171189426,1207.25581,386.7016683,60.1774,356.19425,2493.81,86.0656875,107.2125125,2150.875,0,1,0
4,1.192856247,1428.780664,503.644203,51.95478571,383.3588571,2559.721429,85.45117143,170.5982357,2489.974286,0,1,0
5,0.939221257,1364.821378,701.0054074,58.32000222,515.6607333,2554.446444,76.40934889,185.5394489,2377.305778,0,1,0
6,0.707206122,1254.660062,680.095736,55.68478491,373.2205472,2364.778585,75.64572264,163.2327925,2286.551604,0,1,0
7,0.739435125,1252.521202,751.807532,53.6447975,349.89705,2299.304,75.2183475,190.28935,2451.57775,0,1,0
8,0.968941303,1355.620631,513.2774817,51.61610476,491.518619,2312.29381,83.05525714,169.0996667,2212.381429,0,1,0
9,1.077323184,1349.695431,597.4686622,50.57938095,381.1369762,2344.499762,81.55958571,184.5836548,2431.737381,0,1,0
10,0.892424289,1425.436505,590.7922814,51.33267818,431.9949636,2482.421273,78.25086727,181.8906164,2067.778364,0,1,0
11,1.026996217,1382.550646,587.3264518,52.45093636,373.1715758,2500.418485,78.87725455,160.7705848,2183.781515,0,1,0
12,1.06421562,1277.247164,471.9226572,58.25192353,463.3671765,2419.094706,82.04573235,123.7068029,2060.559118,0,1,0
13,1.079302607,1419.419566,630.982021,52.39224786,444.8413504,2492.172137,76.69167521,151.6151795,2211.660684,0,1,0
14,0.946952444,1164.945718,526.4999862,62.79876154,370.8018077,2506.843077,81.36784231,156.7872231,2166.054231,0,1,0
15,0.917301199,1211.811547,646.5752357,59.44359872,354.1095,2470.222179,78.84599487,183.6917141,2382.733846,0,1,0
16,1.129416497,1238.933227,518.3269493,54.10294,383.8374,2248.624667,80.23874,127.7647267,2152.926,0,1,0
17,0.987283192,1297.274764,566.652454,49.37813182,316.1526061,2257.215606,82.37422576,156.8248742,2501.149848,0,1,0
18,0.88937483,1397.176952,522.36754,52.90790714,449.0921429,2464.146667,81.41869524,148.1188762,2168.295714,0,1,0
19,0.901060566,1229.558879,658.1595239,57.83613125,413.8678438,2352.493125,76.45212188,176.0688281,2222.941406,0,1,0
20,1.111794908,1418.991894,539.7169221,51.50992353,475.6223529,2420.299412,80.61843529,118.4687529,2297.228824,0,1,0
21,1.053000363,1329.796197,645.3433124,52.07907308,351.4775385,2393.345385,78.51406923,218.0939231,2213.196154,0,1,0
22,1.042285086,1245.318258,466.2034024,50.192425,311.821275,2189.1705,84.3926925,126.2312575,2331.0355,0,1,0
23,0.794946611,1426.529218,690.4859159,49.53953571,399.6449286,2440.738429,75.98514,161.6530429,2362.003429,0,1,0
24,1.010007691,1183.885857,661.5547422,58.70821912,328.0789706,2402.252206,77.946375,152.4291162,2478.822059,0,1,0
25,0.97914783,1224.259545,685.4031312,54.70683571,300.4659524,2341.214286,76.52297857,200.1189595,2270.204762,0,1,0
26,1.005845629,1355.073573,654.7361914,52.3672098,376.0143039,2434.071373,79.23112353,169.5382039,2520.20098,0,1,0
27,0.943335037,1468.713554,667.2746642,50.66981127,435.9748169,2529.524789,77.64682113,182.8947225,2375.091549,0,1,0
28,0.892283084,1249.566389,548.6086824,56.83884921,387.6768651,2388.406032,80.55680794,143.9541437,2229.367698,0,1,0
29,1.175090815,1242.374986,526.7615505,53.94535,296.4789,2343.569,80.3625,159.8025,2041.774,0,1,0
30,0.783599704,746.8658986,708.1382292,72.29540352,233.745398,2078.933516,74.27680664,159.2316734,2305.038789,0,1,0
31,1.054424279,1406.766544,416.7578024,54.77202143,508.8446071,2498.7175,85.61155714,126.9643071,2157.142857,0,1,0
32,1.177872356,1090.568328,637.9789997,65.602095,439.759625,2332.6925,77.936045,237.206775,2074.51025,0,1,0
33,1.310765613,1212.208034,659.0110088,67.17151406,529.1227813,2612.651094,77.85984063,234.450625,2170.704219,0,1,0
34,1.022469044,1217.564537,613.4287787,54.47396818,316.513,2296.844773,79.58339545,141.5693523,2467.224773,0,1,0
35,1.043402932,1395.248098,649.2488808,52.86446136,430.2336932,2479.142386,78.63452045,190.157033,2343.460227,0,1,0
36,0.924993562,1331.376592,623.6133066,53.8179589,377.2186301,2453.800137,78.74567945,182.9107562,2267.243699,0,1,0
37,0.864012868,1265.823063,561.1432155,57.68916974,360.3759211,2506.332368,79.093725,156.8017237,2094.892895,0,1,0
38,1.103702914,1158.900526,588.8308718,52.20963913,300.6155217,2101.096304,78.99483696,151.9459674,2225.812174,0,1,0
39,1.024596868,1374.79327,672.6991946,54.84410196,421.7983529,2537.98451,77.74813529,193.2010255,2361.757843,0,1,0
40,0.992547365,1385.197288,716.9349983,49.2906561,340.087439,2403.687561,75.55182195,178.9978805,2398.969024,0,1,0
41,1.035377295,1277.277856,636.5117228,52.41941964,369.4625,2280.742321,77.84420893,166.3736446,2280.467857,0,1,0
42,1.069257946,1322.697962,591.014225,53.55088333,399.2245,2388.0825,80.981725,189.7730667,2315.931667,0,1,0
43,0.943177854,1214.280481,605.3130151,58.20767385,374.1839231,2387.349385,77.94926769,154.5125692,2208.725231,0,1,0
44,1.044014726,1253.241215,623.9696996,56.048955,378.9240375,2373.800875,78.95695875,177.35829,2328.428875,0,1,0
45,1.028163415,1300.093688,738.7593402,52.35524231,357.9160769,2336.766731,75.55141538,180.7588269,2469.628846,0,1,0
46,1.135675638,1407.876885,726.6298587,43.45937273,333.4025,2238.193182,75.01329091,235.8700091,2193.447727,0,1,0
47,0.950476018,1213.729831,698.8127707,56.15576598,324.3783402,2348.92299,76.68111134,186.4000557,2386.140619,0,1,0
48,1.171903507,1067.38859,459.6054042,66.08706667,460.1079583,2267.102917,83.07956667,170.4096125,1889.483333,0,1,0
49,1.122064076,1584.963467,827.786813,47.51088235,441.8046471,2618.540588,70.75931373,178.5036059,2430.396275,0,1,0
50,1.087441301,1242.825315,903.7799761,58.4716,391.3735385,2447.793077,76.38382308,441.5893846,2442.506923,0,1,0
51,1.140579827,1085.133405,705.1651247,60.23803077,312.7748462,2256.503846,75.33247692,184.8813846,2304.256923,0,1,0
52,1.032143675,1161.201181,676.0781564,60.36170909,391.8641818,2335.197273,75.89967727,209.7925455,2155.578182,0,1,0
53,0.981534855,1310.199058,555.0995934,49.79751818,373.6207677,2243.51202,81.93139697,147.6149192,2415.708889,0,1,0
54,1.232654653,1329.68012,550.0084146,60.39133913,503.6493478,2590.601739,80.40226522,212.493,1964.537391,0,1,0
55,1.021482809,1409.52611,709.7158389,52.69961373,474.5561569,2451.303333,78.67134706,187.0100392,2685.288039,0,1,0
56,1.148455959,1151.89897,628.718741,59.18293636,341.6696364,2330.272727,81.47653636,195.1849091,2559.439091,0,1,0
57,1.119426591,1479.464462,461.3249065,47.70330606,438.9011212,2429.639091,83.51767879,116.513197,2209.41,0,1,0
58,1.099699586,1310.395991,868.8528625,55.08263182,460.1173182,2356.048182,70.17448636,238.0311364,2367.421818,0,1,0
59,1.087806744,1525.414162,698.8711334,48.55881048,418.8688145,2569.414516,77.05178548,188.3014685,2403.97379,0,1,0
60,0.886617007,989.0364235,887.591092,67.05016061,317.7096061,2359.563333,74.62645758,310.8266667,2615.481515,0,1,0
61,0.979556325,1366.830673,612.8298637,55.48194719,448.4545618,2518.503371,80.15259213,185.2846225,2352.573483,0,1,0
62,0.948202513,1497.758878,687.3519267,63.796765,736.14075,2911.664,76.52325,179.0804,2331.7855,0,1,0
63,0.729520791,1371.730771,716.0525418,57.02977887,455.4280141,2609.301408,76.09683239,212.6885944,2325.157746,0,1,0
64,1.116613229,1374.166594,560.5963781,60.04963333,552.0128333,2643.208333,77.81926667,156.0061667,2039.116667,0,1,0
65,0.742936891,1407.985288,672.5891101,57.24689341,489.0546703,2666.675604,76.74277033,151.3648165,2394.41978,0,1,0
66,0.883724877,1388.67205,654.0127455,50.26301754,381.3512632,2416.875965,77.07894386,174.1833596,2285.593684,0,1,0
67,0.974629773,1490.433303,640.6715722,55.48699091,512.1437045,2746.279545,78.62169545,169.04335,2373.694091,0,1,0
68,1.000725283,1507.880586,658.4459365,60.13807,687.838,2841.17625,78.620615,193.0000875,2394.3655,0,1,0
69,0.89642797,1357.854444,590.0228762,51.64005844,369.359,2427.245455,81.64038182,190.6544805,2359.873377,0,1,0
70,0.863798506,1411.35551,673.9290042,51.90468333,424.4286296,2483.227778,77.31905,197.0197611,2295.423519,0,1,0
71,0.936813952,1375.976917,685.6694975,54.24747541,414.2319344,2540.993607,77.54839836,192.8121295,2403.614918,0,1,0
72,1.122550337,1271.816245,691.5140859,55.526105,389.744175,2375.1745,81.10524,250.1659275,2604.7295,0,1,0
73,1.002617544,1306.646477,650.1290143,51.39544,392.5432,2288.086,76.43352,154.5938,2274.578,0,1,0
74,0.990310647,1288.613446,722.3701658,54.44806747,400.8213133,2370.36253,77.15617349,218.4428361,2437.699277,0,1,0
75,0.984394831,1259.589707,558.5568325,59.75750588,439.627,2483.413529,82.16748235,132.8796353,2519.832941,0,1,0
76,0.998337058,1287.078135,677.1658921,55.38708571,405.5166429,2391.843673,78.05676633,188.9420469,2426.287041,0,1,0
77,1.035586866,1214.324521,1236.611253,56.1531,317.1,2367.38,79.8651,783.841,3032.345,0,1,0
78,0.72138937,1305.076194,786.4938276,51.43710323,379.2623871,2289.226774,71.57539355,191.6717097,2303.163226,0,1,0
79,0.982778012,1402.150578,830.5192488,54.01322667,503.5977167,2463.704833,76.57878167,275.44681,2653.217,0,1,0
