Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,NADH_a1,NADH_t1,NADH_t2,FAD_a1,FAD_t1,FAD_t2,Donor,Activation
1.040609428,1243.691948,1095.6255,127,62.90258504,460.5894252,2624.128583,76.83895433,538.1168228,3007.999134,4,1
1.026108455,876.6605351,1023.995872,102,74.96403529,378.4242745,2386.261667,72.71664412,427.1873039,2664.024314,4,1
1.038880318,1153.858947,1131.365762,347,66.32314755,414.9799337,2633.837349,69.22452536,467.3831813,2701.118991,4,1
1.029624283,1192.122421,892.1793357,108,64.59132778,423.1872037,2607.406574,73.05664815,323.0707778,2475.954537,4,1
1.020780187,1077.481952,1014.772473,216,68.86304769,423.3396296,2546.201435,69.23913519,352.7727315,2525.157639,4,1
1.029758875,970.4494111,1116.635406,250,70.4288372,391.629172,2380.55648,71.0568088,479.3212224,2760.93676,4,1
1.002464254,1006.911412,787.3026763,96,69.04029583,384.7415521,2427.942188,72.47601875,252.8761771,2204.108333,4,1
1.012029775,930.7464551,1094.043094,475,72.25260126,391.1993158,2358.720884,66.72034105,366.0726253,2585.127032,4,1
1.011715941,968.4797165,975.9212287,197,71.83113096,388.8264873,2459.931117,69.53174416,353.1543807,2428.535482,4,1
1.033978589,958.1200302,1022.553272,229,72.09657598,400.5642751,2422.90917,72.78624978,402.9385616,2734.565633,4,1
1.019949058,1050.132919,981.6933182,192,66.7247724,397.1058021,2380.294375,69.93385625,353.1290719,2474.413125,4,1
1.030221491,984.3758415,1010.259477,258,70.9513531,409.3948295,2412.071822,71.13332093,395.1017306,2577.626047,4,1
0.97758158,915.5892469,907.7596948,152,73.60986645,397.728125,2391.208224,73.91446053,372.8559875,2465.81375,4,1
0.993611251,1098.051331,1168.544574,339,66.86096696,396.1232183,2527.16882,66.34065575,410.911177,2705.285398,4,1
0.981551525,929.0280379,946.7731606,165,72.57903636,394.6636727,2347.783879,70.04907515,318.6410727,2441.234909,4,1
1.050291611,1060.599337,1019.369234,200,69.267428,409.606605,2546.8814,72.9504035,409.6380425,2740.74605,4,1
1.029312313,1103.362663,976.0196553,211,66.42474123,402.2306209,2515.058246,73.23118104,426.3751137,2528.251848,4,1
1.020852986,1112.019315,964.3551849,191,66.0818801,432.8155288,2463.975131,72.84794398,428.9196859,2480.217173,4,1
1.041593391,1005.295327,1127.048338,348,69.88663649,398.7135661,2427.405776,72.74921121,457.8636853,3040.710172,4,1
1.022421753,996.4390346,1085.137681,256,69.49921602,423.9324492,2335.464219,72.21880508,469.1138242,2739.207266,4,1
1.013832809,953.0939835,1094.898699,261,74.21191303,407.0645402,2544.86682,67.25799655,372.6588391,2630.114291,4,1
1.014667534,965.9942659,1069.782779,213,72.46530751,401.4567183,2477.439296,72.40278216,415.9811643,2831.638075,4,1
1.006490954,965.4660444,864.8109429,260,68.96898308,375.7141538,2289.660731,73.76388154,347.5106385,2345.516385,4,1
1.019082599,956.7054326,964.8764548,316,70.90637342,385.8989873,2357.45788,70.43849747,333.3563481,2486.43981,4,1
1.004448937,1170.236648,1011.987262,210,63.73414143,411.2582381,2513.794381,67.83447714,377.2686857,2388.420952,4,1
1.010280274,823.7892371,960.9099104,215,76.43336372,391.5969628,2244.26986,71.57754465,386.7090744,2436.936651,4,1
0.980924531,1393.54132,1023.295744,256,60.96345469,509.3890898,2843.256523,69.34848164,379.3424219,2506.172305,4,1
0.993970963,1003.00297,895.3721016,336,68.72175923,372.0897857,2404.33756,73.22580298,323.2429673,2498.915149,4,1
1.017251354,880.5629428,888.3018984,203,74.8136202,378.465734,2413.14399,74.79710887,348.8139113,2529.106847,4,1
1.016384353,1029.910169,931.4832209,394,69.67658985,410.5849619,2491.375457,73.83988376,357.0788454,2581.004873,4,1
1.005569903,1037.617848,1000.436531,230,68.93728696,422.1117435,2441.662609,71.0963613,358.4829761,2620.34813,4,1
1.006877684,1021.452626,1020.329484,198,69.48234394,435.8852374,2391.157778,70.92381919,397.7078404,2596.336515,4,1
1.03090156,1035.061201,1130.48129,181,68.3301105,397.5602818,2443.863425,75.04981547,486.3473486,3134.272928,4,1
0.968155273,878.3901682,766.1325339,188,74.82053777,424.5563936,2264.383989,75.97520691,322.4072979,2202.363564,4,1
