NADH,n.t1.mean,n.t2.mean,n.a1.mean,f.t1.mean,f.t2.mean,f.a1.mean,rr.mean,n.tm.mean,f.tm.mean,npix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_1n,297.7337101,2274.929246,62.31030174,196.3568226,1944.822754,69.27907971,0.936483656,1038.476985,720.4140294,345,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,278.0837803,2167.135114,64.00729697,196.7507553,1895.677886,69.46009848,0.947307259,959.8287663,701.2804888,264,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,294.2191151,2313.777664,65.85552138,177.5627108,1866.105569,70.62686382,0.955732851,983.5203445,653.7704311,304,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,299.1517634,2223.668626,64.55473486,177.9444005,2040.65888,69.31251374,0.962636921,988.2763887,714.0980222,393,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,272.7534192,2146.328832,66.01942246,249.2174763,2098.75009,70.67191916,0.955450307,917.8675475,760.9251793,334,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,273.6045752,2301.053023,59.65184141,170.1429592,1958.952547,68.66202298,0.949996266,1089.962143,718.3945373,483,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,300.2095865,2226.25601,65.28253173,175.2854074,1969.121202,71.65808173,0.960241226,969.1516473,666.5828771,208,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,227.7513166,2510.377119,55.24292034,221.1852986,2129.371864,68.99577763,0.934956352,1247.524025,799.2191521,295,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,298.1170379,2430.859068,57.1666236,166.8344023,1730.460621,71.82779503,0.918092509,1203.49296,603.91948,161,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,279.0420189,2281.799972,60.89196602,196.4504387,1920.178691,71.92962312,0.954812666,1060.968226,667.8681409,359,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,269.3997444,2117.763894,64.40969785,195.817402,2129.591252,72.40975499,0.95192029,942.0657485,718.2808602,511,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,269.7290419,2249.197175,61.98747403,210.7323646,2037.027699,70.8468467,0.953034469,1020.495221,728.6564014,439,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,278.6113044,2288.956854,63.01126978,179.6325374,1886.722056,71.40518598,0.92974321,1020.460549,657.2261742,321,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,272.4667507,2162.280083,64.53960704,205.6542884,2101.398153,70.04277226,0.93738841,947.0353821,747.690362,483,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,293.27475,2311.583906,63.892845,235.0974413,2210.026156,71.15931813,0.96113611,1019.495155,792.2152413,320,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,288.8424723,2086.108553,68.11397745,226.0962145,2163.902043,70.52265149,0.952196781,861.0863411,780.7975703,235,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,280.8645442,2303.149473,61.21601655,214.4830949,2007.379291,67.75425764,0.935886307,1066.05057,782.2531033,550,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,304.8706085,2380.964553,65.63287362,209.8485132,2001.866383,67.28331745,0.927031761,1011.123805,785.4867902,235,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,275.5945766,2447.189153,57.38988508,165.7659302,1934.951734,68.80111653,0.936973137,1195.84788,708.0385084,248,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,285.5994211,2268.668459,65.05897406,179.4478293,2033.490827,73.95285677,0.922142587,982.1363716,661.9008052,266,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,145.8140151,2002.318894,69.4412799,159.7107693,1602.580754,79.10394271,0.809926066,721.844006,460.2002293,199,Activated,M,221101,CD69+,NK-Cells
