NADH,NADH_t1,NADH_t2,NADH_a1,FAD_t1,FAD_t2,FAD_a1,Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_3n,435.444481,2529.773122,71.36857848,347.004962,2266.615781,71.11344895,1.018590864,1027.08606,891.1201696,237,Activated,D,220309,CD69+,NK-Cells
NK_act_3n,331.7188752,2207.111748,74.26176789,236.5979415,2045.239894,77.75528049,1.024952818,817.3627156,646.5370417,246,Activated,D,220309,CD69+,NK-Cells
NK_act_3n,413.7143136,2589.66213,65.45414201,423.9489882,2546.031302,72.13363964,1.047367439,1159.463446,998.1941583,169,Activated,D,220309,CD69+,NK-Cells
NK_act_3n,383.5639696,2189.394087,77.73445522,482.3816987,2783.800087,73.13343783,1.013018322,777.6320258,1080.17253,230,Activated,D,220309,CD69+,NK-Cells
NK_act_3n,455.3506379,2574.924095,66.96078793,432.3622759,2743.422155,69.3124444,0.984283277,1138.021468,1120.551544,232,Activated,D,220309,CD69+,NK-Cells
NK_act_3n,32.7258602,875.2185765,98.73377092,162.0320872,1604.569908,84.90200102,0.894807936,43.91283817,391.2145347,196,Activated,D,220309,CD69+,NK-Cells
NK_act_3n,39.1067804,846.898196,98.33239347,95.76258342,1476.427462,93.8209608,0.875503578,53.75588341,206.1275376,199,Activated,D,220309,CD69+,NK-Cells
NK_act_3n,341.0420557,2026.956063,78.6607777,470.8008955,2633.268467,73.19170697,1.022879196,698.0101512,1041.143553,287,Activated,D,220309,CD69+,NK-Cells
NK_act_3n,370.2798175,2191.309392,76.20505475,335.15433,2324.737681,74.9155308,0.93319178,795.7100479,831.4788983,263,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,460.5894252,2624.128583,62.90258504,538.1168228,3007.999134,76.83895433,1.040609428,1243.691948,1095.6255,127,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,378.4242745,2386.261667,74.96403529,427.1873039,2664.024314,72.71664412,1.026108455,876.6605351,1023.995872,102,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,414.9799337,2633.837349,66.32314755,467.3831813,2701.118991,69.22452536,1.038880318,1153.858947,1131.365762,347,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,423.1872037,2607.406574,64.59132778,323.0707778,2475.954537,73.05664815,1.029624283,1192.122421,892.1793357,108,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,423.3396296,2546.201435,68.86304769,352.7727315,2525.157639,69.23913519,1.020780187,1077.481952,1014.772473,216,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,391.629172,2380.55648,70.4288372,479.3212224,2760.93676,71.0568088,1.029758875,970.4494111,1116.635406,250,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,384.7415521,2427.942188,69.04029583,252.8761771,2204.108333,72.47601875,1.002464254,1006.911412,787.3026763,96,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,391.1993158,2358.720884,72.25260126,366.0726253,2585.127032,66.72034105,1.012029775,930.7464551,1094.043094,475,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,388.8264873,2459.931117,71.83113096,353.1543807,2428.535482,69.53174416,1.011715941,968.4797165,975.9212287,197,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,400.5642751,2422.90917,72.09657598,402.9385616,2734.565633,72.78624978,1.033978589,958.1200302,1022.553272,229,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,397.1058021,2380.294375,66.7247724,353.1290719,2474.413125,69.93385625,1.019949058,1050.132919,981.6933182,192,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,409.3948295,2412.071822,70.9513531,395.1017306,2577.626047,71.13332093,1.030221491,984.3758415,1010.259477,258,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,397.728125,2391.208224,73.60986645,372.8559875,2465.81375,73.91446053,0.97758158,915.5892469,907.7596948,152,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,396.1232183,2527.16882,66.86096696,410.911177,2705.285398,66.34065575,0.993611251,1098.051331,1168.544574,339,Activated,D,220309,CD69+,NK-Cells
NK_act_4n,394.6636727,2347.783879,72.57903636,318.6410727,2441.234909,70.04907515,0.981551525,929.0280379,946.7731606,165,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,409.606605,2546.8814,69.267428,409.6380425,2740.74605,72.9504035,1.050291611,1060.599337,1019.369234,200,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,402.2306209,2515.058246,66.42474123,426.3751137,2528.251848,73.23118104,1.029312313,1103.362663,976.0196553,211,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,432.8155288,2463.975131,66.0818801,428.9196859,2480.217173,72.84794398,1.020852986,1112.019315,964.3551849,191,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,398.7135661,2427.405776,69.88663649,457.8636853,3040.710172,72.74921121,1.041593391,1005.295327,1127.048338,348,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,423.9324492,2335.464219,69.49921602,469.1138242,2739.207266,72.21880508,1.022421753,996.4390346,1085.137681,256,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,407.0645402,2544.86682,74.21191303,372.6588391,2630.114291,67.25799655,1.013832809,953.0939835,1094.898699,261,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,401.4567183,2477.439296,72.46530751,415.9811643,2831.638075,72.40278216,1.014667534,965.9942659,1069.782779,213,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,375.7141538,2289.660731,68.96898308,347.5106385,2345.516385,73.76388154,1.006490954,965.4660444,864.8109429,260,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,385.8989873,2357.45788,70.90637342,333.3563481,2486.43981,70.43849747,1.019082599,956.7054326,964.8764548,316,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,411.2582381,2513.794381,63.73414143,377.2686857,2388.420952,67.83447714,1.004448937,1170.236648,1011.987262,210,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,391.5969628,2244.26986,76.43336372,386.7090744,2436.936651,71.57754465,1.010280274,823.7892371,960.9099104,215,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,509.3890898,2843.256523,60.96345469,379.3424219,2506.172305,69.34848164,0.980924531,1393.54132,1023.295744,256,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,372.0897857,2404.33756,68.72175923,323.2429673,2498.915149,73.22580298,0.993970963,1003.00297,895.3721016,336,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,378.465734,2413.14399,74.8136202,348.8139113,2529.106847,74.79710887,1.017251354,880.5629428,888.3018984,203,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,410.5849619,2491.375457,69.67658985,357.0788454,2581.004873,73.83988376,1.016384353,1029.910169,931.4832209,394,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,422.1117435,2441.662609,68.93728696,358.4829761,2620.34813,71.0963613,1.005569903,1037.617848,1000.436531,230,Activated,D,220309,CD69+,NK-Cells
NK_act_5n,435.8852374,2391.157778,69.48234394,397.7078404,2596.336515,70.92381919,1.006877684,1021.452626,1020.329484,198,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,397.5602818,2443.863425,68.3301105,486.3473486,3134.272928,75.04981547,1.03090156,1035.061201,1130.48129,181,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,424.5563936,2264.383989,74.82053777,322.4072979,2202.363564,75.97520691,0.968155273,878.3901682,766.1325339,188,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,447.596267,2592.05552,67.50688597,394.1781267,2581.216199,70.69801357,1.019944409,1129.082852,1021.735237,221,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,466.6943822,2805.899111,65.65397689,280.9407987,2749.632311,73.27633911,1.022036106,1231.881242,931.0827618,225,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,390.3677674,2342.122907,69.26601628,369.076314,2663.502558,66.98322791,0.985933874,986.9600886,1113.085345,172,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,365.2655805,2265.326439,77.45176195,330.5385439,2271.048,71.89884146,0.998411306,788.9985477,871.9817669,205,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,401.7942573,2375.032621,72.11038544,319.1249951,2439.040097,72.55019515,1.008101788,943.3161994,894.572224,206,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,478.109203,2678.032103,63.8302048,355.0693432,2534.756568,69.75994059,0.993090533,1249.472984,1007.856661,271,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,361.6355018,2307.647964,75.03849927,351.7814945,2386.508945,70.17954909,0.972056782,842.364772,953.4418254,275,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,370.5087652,2235.412652,76.25563485,376.1770833,2292.419621,70.08440152,0.988004649,819.4824208,943.956784,132,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,336.4279381,2113.265464,79.56748969,359.2731753,2386.394639,75.80205412,0.994035426,696.2623559,844.6139862,194,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,431.5441598,2453.858639,72.69311834,300.5515385,2243.595148,71.34983905,0.965334704,970.1048326,849.6706103,169,Activated,D,220309,CD69+,NK-Cells
NK_act_6n,396.8459622,2296.55,76.38171511,441.4281365,2568.929471,72.08646373,1.00075681,837.9289713,1017.131398,397,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,393.598123,2337.899344,65.1423918,424.8462213,2209.167869,75.72163689,1.030566449,1059.252324,844.0570915,122,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,423.5122039,2311.442532,75.23736824,457.0290451,3009.478884,76.39606009,1.028686732,879.9848193,1036.27358,466,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,388.9951007,2294.838859,76.19025503,412.3732631,2621.277819,73.84420772,1.038172744,839.0141898,978.3626209,298,Activated,D,220309,CD69-,NK-Cells
