labels,data
Norm_RR,20.44508439
NADH_a1,20.14896862
NADH_t2,17.45438521
NADH_t1,13.35433941
NADH_tm,9.997966956
FAD_t1,5.755079938
FAD_a1,4.87600202
FAD_tm,4.281825411
FAD_t2,3.686348042
